"PROD_EST","COBERTURA","ANIO","ID_MES","MARCA","MODELO","TIPO","SEGMENTO","UNI_VEH"
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"01","Nissan","Estacas Largo","Camiones ligeros","Pick Ups",319
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"01","Nissan","Pickup Doble Cabina","Camiones ligeros","Pick Ups",976
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"01","Nissan","Pickup King Cab STD","Camiones ligeros","Pick Ups",0
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"01","Nissan","Pickup Largo","Camiones ligeros","Pick Ups",403
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"01","Nissan","Platina 4 PTS","Automóviles","Subcompactos",4568
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"01","Nissan","Sentra 4 PTS","Automóviles","Compactos",15477
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"01","Nissan","Tsubame","Automóviles","Compactos",0
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"01","Nissan","Tsuru 4 PTS","Automóviles","Subcompactos",6844
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"01","Renault","Clio","Automóviles","Subcompactos",601
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"01","Renault","Scenic","Automóviles","Compactos",0
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"01","Toyota","Tacoma-","Camiones ligeros","Pick Ups",0
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"01","Toyota","Yaris Hatchback-","Automóviles","Subcompactos",0
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"01","Volkswagen","Beetle","Automóviles","Compactos",3657
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"01","Volkswagen","Beetle Cabrio","Automóviles","Compactos",3360
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"01","Volkswagen","Bora","Automóviles","Compactos",20817
