"PROD_EST","COBERTURA","ANIO","ID_MES","MARCA","MODELO","TIPO","SEGMENTO","UNI_VEH"
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"01","Chrysler","Crew Cab-","Camiones ligeros","Pick Ups",11076
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"01","Chrysler","Journey","Camiones ligeros","SUV's",16120
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"01","Chrysler","Promaster","Camiones ligeros","SUV's",1985
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"01","Chrysler","RAM 1500-","Camiones ligeros","Pick Ups",122
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"01","Chrysler","RAM 2500-","Camiones ligeros","Pick Ups",5034
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"01","Chrysler","RAM 4000","Camiones ligeros","Pick Ups",2681
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"01","Fiat","Fiat 500-","Automóviles","Subcompactos",4727
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"01","Ford Motor","Fiesta NA Sedan","Automóviles","Subcompactos",5391
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"01","Ford Motor","Fiesta NA 5 DR","Automóviles","Subcompactos",3690
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"01","Ford Motor","Fusion","Automóviles","Compactos",21776
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"01","Ford Motor","MKZ-","Automóviles","De Lujo",2296
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"01","General Motors","Aveo-","Automóviles","Subcompactos",6241
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"01","General Motors","Captiva Sport","Camiones ligeros","SUV's",286
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"01","General Motors","GMC Sierra Doble Cabina","Camiones ligeros","Pick Ups",11837
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"01","General Motors","Silverado 1500 Cabina Regular-","Camiones ligeros","Pick Ups",211
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"01","General Motors","Silverado 2500 Cabina Regular-","Camiones ligeros","Pick Ups",4
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"01","General Motors","Silverado 2500 Doble Cabina-","Camiones ligeros","Pick Ups",18445
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"01","General Motors","Silverado 3500 Chassis Cab","Camiones ligeros","Pick Ups",157
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"01","General Motors","Silverado 3500 HD Chassis Cab Heavy Duty","Camiones ligeros","Pick Ups",0
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"01","General Motors","Sonic-","Automóviles","Subcompactos",535
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"01","General Motors","SRX SUV-","Camiones ligeros","SUV's",2393
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"01","General Motors","Trax","Camiones ligeros","SUV's",6167
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"01","Honda","Accord 4PTS-","Automóviles","De Lujo",0
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"01","Honda","CR-V-","Camiones ligeros","SUV's",5267
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"01","Honda","Fit-","Automóviles","Subcompactos",11329
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"01","Honda","HR-V-","Camiones ligeros","SUV's",945
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"01","Mazda","Mazda 2-","Automóviles","Subcompactos",3921
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"01","Mazda","Mazda 3 Hatchback","Automóviles","Compactos",6778
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"01","Mazda","Mazda 3 Sedán-","Automóviles","Compactos",6844
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"01","Mercedes Benz_Prod_Expo","Clase A Sedán_","Automóviles","De Lujo",0
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"01","Mercedes Benz_Prod_Expo","GLB_","Camiones ligeros","SUV's",0
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"01","Nissan","Chasis Largo","Camiones ligeros","Pick Ups",1992
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"01","Nissan","Chasis Largo Diesel","Camiones ligeros","Pick Ups",163
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"01","Nissan","Estacas Largo","Camiones ligeros","Pick Ups",757
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"01","Nissan","Frontier L4","Camiones ligeros","Pick Ups",0
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"01","Nissan","March","Automóviles","Subcompactos",6041
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"01","Nissan","Note","Automóviles","Compactos",8407
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"01","Nissan","NV 200 Cargo","Camiones ligeros","SUV's",3826
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"01","Nissan","NV 200 NY TAXI","Camiones ligeros","SUV's",4
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"01","Nissan","Pickup Doble Cabina","Camiones ligeros","Pick Ups",5794
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"01","Nissan","Pickup Doble Cabina Diesel","Camiones ligeros","Pick Ups",60
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"01","Nissan","Pickup Largo","Camiones ligeros","Pick Ups",988
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"01","Nissan","Pickup Largo Diesel","Camiones ligeros","Pick Ups",40
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"01","Nissan","Sentra","Automóviles","Compactos",22544
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"01","Nissan","Tiida Sedan","Automóviles","Compactos",2636
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"01","Nissan","Tiida 5 PTS","Automóviles","Compactos",0
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"01","Nissan","Tsuru 4 PTS","Automóviles","Subcompactos",4584
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"01","Nissan","Versa","Automóviles","Compactos",11577
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"01","Toyota","Tacoma-","Camiones ligeros","Pick Ups",6289
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"01","Volkswagen","Beetle","Automóviles","Compactos",3899
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"01","Volkswagen","Beetle Cabrio","Automóviles","Compactos",2099
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"01","Volkswagen","Golf-","Automóviles","Compactos",8454
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"01","Volkswagen","Golf Variant-/Crossgolf","Automóviles","Compactos",514
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"01","Volkswagen","Jetta","Automóviles","Compactos",19483
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"01","Volkswagen","Nuevo Jetta TDI","Automóviles","Compactos",15
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"02","Chrysler","Crew Cab-","Camiones ligeros","Pick Ups",12199
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"02","Chrysler","Journey","Camiones ligeros","SUV's",15732
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"02","Chrysler","Promaster","Camiones ligeros","SUV's",1808
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"02","Chrysler","RAM 1500-","Camiones ligeros","Pick Ups",62
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"02","Chrysler","RAM 2500-","Camiones ligeros","Pick Ups",5324
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"02","Chrysler","RAM 4000","Camiones ligeros","Pick Ups",2393
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"02","Fiat","Fiat 500-","Automóviles","Subcompactos",4600
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"02","Ford Motor","Fiesta NA Sedan","Automóviles","Subcompactos",3796
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"02","Ford Motor","Fiesta NA 5 DR","Automóviles","Subcompactos",2608
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"02","Ford Motor","Fusion","Automóviles","Compactos",27847
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"02","Ford Motor","MKZ-","Automóviles","De Lujo",2654
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"02","General Motors","Aveo-","Automóviles","Subcompactos",5013
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"02","General Motors","Captiva Sport","Camiones ligeros","SUV's",718
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"02","General Motors","GMC Sierra Doble Cabina","Camiones ligeros","Pick Ups",12078
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"02","General Motors","Silverado 1500 Cabina Regular-","Camiones ligeros","Pick Ups",266
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"02","General Motors","Silverado 2500 Cabina Regular-","Camiones ligeros","Pick Ups",0
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"02","General Motors","Silverado 2500 Doble Cabina-","Camiones ligeros","Pick Ups",17811
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"02","General Motors","Silverado 3500 Chassis Cab","Camiones ligeros","Pick Ups",186
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"02","General Motors","Silverado 3500 HD Chassis Cab Heavy Duty","Camiones ligeros","Pick Ups",0
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"02","General Motors","Sonic-","Automóviles","Subcompactos",3210
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"02","General Motors","SRX SUV-","Camiones ligeros","SUV's",8746
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"02","General Motors","Trax","Camiones ligeros","SUV's",7158
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"02","Honda","Accord 4PTS-","Automóviles","De Lujo",0
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"02","Honda","CR-V-","Camiones ligeros","SUV's",5071
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"02","Honda","Fit-","Automóviles","Subcompactos",7014
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"02","Honda","HR-V-","Camiones ligeros","SUV's",3249
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"02","Mazda","Mazda 2-","Automóviles","Subcompactos",4746
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"02","Mazda","Mazda 3 Hatchback","Automóviles","Compactos",4775
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"02","Mazda","Mazda 3 Sedán-","Automóviles","Compactos",7151
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"02","Mercedes Benz_Prod_Expo","Clase A Sedán_","Automóviles","De Lujo",0
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"02","Mercedes Benz_Prod_Expo","GLB_","Camiones ligeros","SUV's",0
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"02","Nissan","Chasis Largo","Camiones ligeros","Pick Ups",1892
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"02","Nissan","Chasis Largo Diesel","Camiones ligeros","Pick Ups",132
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"02","Nissan","Estacas Largo","Camiones ligeros","Pick Ups",770
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"02","Nissan","Frontier L4","Camiones ligeros","Pick Ups",0
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"02","Nissan","March","Automóviles","Subcompactos",5759
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"02","Nissan","Note","Automóviles","Compactos",5938
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"02","Nissan","NV 200 Cargo","Camiones ligeros","SUV's",3532
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"02","Nissan","NV 200 NY TAXI","Camiones ligeros","SUV's",85
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"02","Nissan","Pickup Doble Cabina","Camiones ligeros","Pick Ups",5775
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"02","Nissan","Pickup Doble Cabina Diesel","Camiones ligeros","Pick Ups",453
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"02","Nissan","Pickup Largo","Camiones ligeros","Pick Ups",447
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"02","Nissan","Pickup Largo Diesel","Camiones ligeros","Pick Ups",32
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"02","Nissan","Sentra","Automóviles","Compactos",21812
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"02","Nissan","Tiida Sedan","Automóviles","Compactos",2475
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"02","Nissan","Tiida 5 PTS","Automóviles","Compactos",0
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"02","Nissan","Tsuru 4 PTS","Automóviles","Subcompactos",4311
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"02","Nissan","Versa","Automóviles","Compactos",11989
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"02","Toyota","Tacoma-","Camiones ligeros","Pick Ups",6285
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"02","Volkswagen","Beetle","Automóviles","Compactos",5223
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"02","Volkswagen","Beetle Cabrio","Automóviles","Compactos",3104
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"02","Volkswagen","Golf-","Automóviles","Compactos",8699
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"02","Volkswagen","Golf Variant-/Crossgolf","Automóviles","Compactos",2010
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"02","Volkswagen","Jetta","Automóviles","Compactos",25907
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"02","Volkswagen","Nuevo Jetta TDI","Automóviles","Compactos",11
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"03","Chrysler","Crew Cab-","Camiones ligeros","Pick Ups",12773
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"03","Chrysler","Journey","Camiones ligeros","SUV's",17565
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"03","Chrysler","Promaster","Camiones ligeros","SUV's",2079
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"03","Chrysler","RAM 1500-","Camiones ligeros","Pick Ups",85
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"03","Chrysler","RAM 2500-","Camiones ligeros","Pick Ups",5023
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"03","Chrysler","RAM 4000","Camiones ligeros","Pick Ups",2938
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"03","Fiat","Fiat 500-","Automóviles","Subcompactos",4119
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"03","Ford Motor","Fiesta NA Sedan","Automóviles","Subcompactos",4130
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"03","Ford Motor","Fiesta NA 5 DR","Automóviles","Subcompactos",3816
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"03","Ford Motor","Fusion","Automóviles","Compactos",31590
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"03","Ford Motor","MKZ-","Automóviles","De Lujo",2691
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"03","General Motors","Aveo-","Automóviles","Subcompactos",6659
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"03","General Motors","Captiva Sport","Camiones ligeros","SUV's",782
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"03","General Motors","GMC Sierra Doble Cabina","Camiones ligeros","Pick Ups",12552
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"03","General Motors","Silverado 1500 Cabina Regular-","Camiones ligeros","Pick Ups",204
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"03","General Motors","Silverado 2500 Cabina Regular-","Camiones ligeros","Pick Ups",0
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"03","General Motors","Silverado 2500 Doble Cabina-","Camiones ligeros","Pick Ups",21405
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"03","General Motors","Silverado 3500 Chassis Cab","Camiones ligeros","Pick Ups",170
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"03","General Motors","Silverado 3500 HD Chassis Cab Heavy Duty","Camiones ligeros","Pick Ups",0
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"03","General Motors","Sonic-","Automóviles","Subcompactos",3835
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"03","General Motors","SRX SUV-","Camiones ligeros","SUV's",8604
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"03","General Motors","Trax","Camiones ligeros","SUV's",8550
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"03","Honda","Accord 4PTS-","Automóviles","De Lujo",0
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"03","Honda","CR-V-","Camiones ligeros","SUV's",5500
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"03","Honda","Fit-","Automóviles","Subcompactos",4490
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"03","Honda","HR-V-","Camiones ligeros","SUV's",5435
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"03","Mazda","Mazda 2-","Automóviles","Subcompactos",3381
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"03","Mazda","Mazda 3 Hatchback","Automóviles","Compactos",5064
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"03","Mazda","Mazda 3 Sedán-","Automóviles","Compactos",5667
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"03","Mercedes Benz_Prod_Expo","Clase A Sedán_","Automóviles","De Lujo",0
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"03","Mercedes Benz_Prod_Expo","GLB_","Camiones ligeros","SUV's",0
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"03","Nissan","Chasis Largo","Camiones ligeros","Pick Ups",2371
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"03","Nissan","Chasis Largo Diesel","Camiones ligeros","Pick Ups",134
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"03","Nissan","Estacas Largo","Camiones ligeros","Pick Ups",1030
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"03","Nissan","Frontier L4","Camiones ligeros","Pick Ups",0
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"03","Nissan","March","Automóviles","Subcompactos",5832
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"03","Nissan","Note","Automóviles","Compactos",7040
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"03","Nissan","NV 200 Cargo","Camiones ligeros","SUV's",3531
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"03","Nissan","NV 200 NY TAXI","Camiones ligeros","SUV's",218
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"03","Nissan","Pickup Doble Cabina","Camiones ligeros","Pick Ups",5998
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"03","Nissan","Pickup Doble Cabina Diesel","Camiones ligeros","Pick Ups",522
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"03","Nissan","Pickup Largo","Camiones ligeros","Pick Ups",483
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"03","Nissan","Pickup Largo Diesel","Camiones ligeros","Pick Ups",23
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"03","Nissan","Sentra","Automóviles","Compactos",21988
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"03","Nissan","Tiida Sedan","Automóviles","Compactos",2678
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"03","Nissan","Tiida 5 PTS","Automóviles","Compactos",0
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"03","Nissan","Tsuru 4 PTS","Automóviles","Subcompactos",4418
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2015,"03","Nissan","Versa","Automóviles","Compactos",13789
