"PROD_EST","COBERTURA","ANIO","ID_MES","MARCA","MODELO","TIPO","SEGMENTO","UNI_VEH"
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2019,"01","Audi","Q5","Camiones ligeros","SUV's",17224
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2019,"01","Chrysler","Crew Cab-","Camiones ligeros","Pick Ups",6861
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2019,"01","Chrysler","Jeep Compass-","Camiones ligeros","SUV's",20592
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2019,"01","Chrysler","Journey","Camiones ligeros","SUV's",6003
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2019,"01","Chrysler","Promaster","Camiones ligeros","SUV's",5537
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2019,"01","Chrysler","RAM 1500-","Camiones ligeros","Pick Ups",5
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2019,"01","Chrysler","RAM 2500-","Camiones ligeros","Pick Ups",9734
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2019,"01","Chrysler","RAM 4000","Camiones ligeros","Pick Ups",358
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2019,"01","Chrysler","RAM 4000 Diesel","Camiones ligeros","Pick Ups",0
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2019,"01","Fiat","Fiat 500-","Automóviles","Subcompactos",424
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2019,"01","Ford Motor","Fiesta NA 5 DR","Automóviles","Subcompactos",6896
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2019,"01","Ford Motor","Fusion","Automóviles","Compactos",9736
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2019,"01","Ford Motor","Fusion Hibrido","Automóviles","Compactos",9120
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2019,"01","Ford Motor","MKZ-","Automóviles","De Lujo",1239
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2019,"01","Ford Motor","MKZ Hibrido-","Automóviles","De Lujo",477
