"PROD_EST","COBERTURA","ANIO","ID_MES","MARCA","MODELO","TIPO","SEGMENTO","ORIGEN","ID_PAIS_ORIGEN","UNI_VEH"
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2013,"01","Acura","ILX","Automóviles","De Lujo","IMPORTADO",66,59
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2013,"01","Acura","Mdx","Camiones ligeros","SUV's","IMPORTADO",40,28
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2013,"01","Acura","Rdx","Camiones ligeros","SUV's","IMPORTADO",66,80
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2013,"01","Acura","Tl 3.5l","Automóviles","De Lujo","IMPORTADO",66,19
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2013,"01","Acura","Tl 3.7l","Automóviles","De Lujo","IMPORTADO",66,4
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2013,"01","Acura","TSX 2.4L","Automóviles","De Lujo","IMPORTADO",40,18
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2013,"01","Acura","Tsx 3.5l","Automóviles","De Lujo","IMPORTADO",40,4
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2013,"01","Alfa Romeo","Alfa Romeo Giulietta Progression Manual","Automóviles","Deportivos","IMPORTADO",124,5
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2013,"01","Alfa Romeo","Alfa Romeo Mito Quadrifoglio Verde Manual","Automóviles","Deportivos","IMPORTADO",124,6
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2013,"01","Audi","A1-","Automóviles","De Lujo","IMPORTADO",23,269
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2013,"01","Audi","A3-","Automóviles","De Lujo","IMPORTADO",4,10
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2013,"01","Audi","A4","Automóviles","De Lujo","IMPORTADO",4,216
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2013,"01","Audi","A5","Automóviles","De Lujo","IMPORTADO",4,70
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2013,"01","Audi","A6","Automóviles","De Lujo","IMPORTADO",4,19
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2013,"01","Audi","A7","Automóviles","De Lujo","IMPORTADO",4,13
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2013,"01","Audi","A8","Automóviles","De Lujo","IMPORTADO",4,3
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2013,"01","Audi","Q3-","Camiones ligeros","SUV's","IMPORTADO",64,118
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2013,"01","Audi","Q5 3.2","Camiones ligeros","SUV's","IMPORTADO",4,107
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2013,"01","Audi","Q7-","Camiones ligeros","SUV's","IMPORTADO",62,25
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2013,"01","Audi","R8","Automóviles","De Lujo","IMPORTADO",4,1
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2013,"01","Audi","TT Coupe","Automóviles","De Lujo","IMPORTADO",94,2
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2013,"01","Bentley","Continental Flying Spur","Automóviles","De Lujo","IMPORTADO",181,4
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2013,"01","Bentley","Continental Gt","Automóviles","De Lujo","IMPORTADO",181,1
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2013,"01","BMW","Serie 1 Hatch","Automóviles","De Lujo","IMPORTADO",4,128
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2013,"01","BMW","Serie 3","Automóviles","De Lujo","IMPORTADO",4,236
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2013,"01","BMW","Serie 4","Automóviles","De Lujo","IMPORTADO",4,0
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2013,"01","BMW","Serie 5","Automóviles","De Lujo","IMPORTADO",4,35
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2013,"01","BMW","Serie 6","Automóviles","De Lujo","IMPORTADO",4,1
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2013,"01","BMW","Serie 7","Automóviles","De Lujo","IMPORTADO",4,5
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2013,"01","BMW","X1","Camiones ligeros","SUV's","IMPORTADO",4,46
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2013,"01","BMW","X3","Camiones ligeros","SUV's","IMPORTADO",66,81
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2013,"01","BMW","X5","Camiones ligeros","SUV's","IMPORTADO",66,37
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2013,"01","BMW","X6","Camiones ligeros","SUV's","IMPORTADO",66,29
