"PROD_EST","COBERTURA","ANIO","ID_MES","MARCA","MODELO","TIPO","SEGMENTO","UNI_VEH"
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2018,"01","Audi","Q5","Camiones ligeros","SUV's",13633
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2018,"01","Chrysler","Crew Cab-","Camiones ligeros","Pick Ups",10929
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2018,"01","Chrysler","Jeep Compass-","Camiones ligeros","SUV's",22615
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2018,"01","Chrysler","Journey","Camiones ligeros","SUV's",8652
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2018,"01","Chrysler","Promaster","Camiones ligeros","SUV's",4790
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2018,"01","Chrysler","RAM 1500-","Camiones ligeros","Pick Ups",59
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2018,"01","Chrysler","RAM 2500-","Camiones ligeros","Pick Ups",1257
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2018,"01","Chrysler","RAM 4000","Camiones ligeros","Pick Ups",2471
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2018,"01","Fiat","Fiat 500-","Automóviles","Subcompactos",0
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2018,"01","Ford Motor","Fiesta NA Sedan","Automóviles","Subcompactos",6266
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2018,"01","Ford Motor","Fusion","Automóviles","Compactos",13880
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2018,"01","Ford Motor","Fusion Hibrido","Automóviles","Compactos",4728
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2018,"01","Ford Motor","MKZ-","Automóviles","De Lujo",977
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2018,"01","Ford Motor","MKZ Hibrido-","Automóviles","De Lujo",265
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2018,"01","General Motors","Aveo-","Automóviles","Subcompactos",1
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2018,"01","General Motors","Cruze 4 PTAS-","Automóviles","Compactos",480
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2018,"01","General Motors","Cruze 5 Ptas","Automóviles","Compactos",3955
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2018,"01","General Motors","Equinox SUV-","Camiones ligeros","SUV's",16418
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2018,"01","General Motors","GMC Sierra Doble Cabina","Camiones ligeros","Pick Ups",3765
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2018,"01","General Motors","Silverado 2500 Doble Cabina-","Camiones ligeros","Pick Ups",6800
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2018,"01","General Motors","Silverado 3500 Chassis Cab","Camiones ligeros","Pick Ups",192
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2018,"01","General Motors","Terrain SUV-","Camiones ligeros","SUV's",10915
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2018,"01","General Motors","Trax","Camiones ligeros","SUV's",10850
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2018,"01","Honda","Fit-","Automóviles","Subcompactos",3984
