"PROD_EST","COBERTURA","ANIO","ID_MES","MARCA","MODELO","TIPO","SEGMENTO","UNI_VEH"
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2017,"01","Audi","Q5","Camiones ligeros","SUV's",7759
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2017,"01","Chrysler","Crew Cab-","Camiones ligeros","Pick Ups",19331
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2017,"01","Chrysler","Journey","Camiones ligeros","SUV's",17209
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2017,"01","Chrysler","Promaster","Camiones ligeros","SUV's",4238
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2017,"01","Chrysler","RAM 1500-","Camiones ligeros","Pick Ups",56
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2017,"01","Chrysler","RAM 2500-","Camiones ligeros","Pick Ups",2352
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2017,"01","Chrysler","RAM 4000","Camiones ligeros","Pick Ups",3240
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2017,"01","Fiat","Fiat 500-","Automóviles","Subcompactos",1773
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2017,"01","Ford Motor","Fiesta NA Sedan","Automóviles","Subcompactos",6893
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2017,"01","Ford Motor","Fusion","Automóviles","Compactos",10162
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2017,"01","Ford Motor","Fusion Hibrido","Automóviles","Compactos",8686
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2017,"01","Ford Motor","MKZ-","Automóviles","De Lujo",2323
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2017,"01","General Motors","Aveo-","Automóviles","Subcompactos",4794
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2017,"01","General Motors","Cruze 4 PTAS-","Automóviles","Compactos",3456
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2017,"01","General Motors","Cruze 5 Ptas","Automóviles","Compactos",1112
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2017,"01","General Motors","GMC Sierra Doble Cabina","Camiones ligeros","Pick Ups",14760
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2017,"01","General Motors","Silverado 2500 Doble Cabina-","Camiones ligeros","Pick Ups",20394
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2017,"01","General Motors","Silverado 3500 Chassis Cab","Camiones ligeros","Pick Ups",303
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2017,"01","General Motors","Sonic-","Automóviles","Subcompactos",1723
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2017,"01","General Motors","Sonic 5 PTS-","Automóviles","Subcompactos",109
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2017,"01","General Motors","Trax","Camiones ligeros","SUV's",5224
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2017,"01","Honda","Fit-","Automóviles","Subcompactos",4052
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2017,"01","Honda","HR-V-","Camiones ligeros","SUV's",12909
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2017,"01","KIA","Forte-","Automóviles","Compactos",10620
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2017,"01","KIA","Forte Hatchback","Automóviles","Compactos",358
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2017,"01","KIA","Kia Río Hatchback-","Automóviles","Subcompactos",1715
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2017,"01","Mazda","Mazda 2-","Automóviles","Subcompactos",2137
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2017,"01","Mazda","Mazda 3 Hatchback","Automóviles","Compactos",4708
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2017,"01","Mazda","Mazda 3 Sedán-","Automóviles","Compactos",7073
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2017,"01","Mercedes Benz_Prod_Expo","Clase A Sedán_","Automóviles","De Lujo",0
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2017,"01","Mercedes Benz_Prod_Expo","GLB_","Camiones ligeros","SUV's",0
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2017,"01","Nissan","Chasis Largo","Camiones ligeros","Pick Ups",0
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2017,"01","Nissan","Chasis Largo Diesel","Camiones ligeros","Pick Ups",0
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2017,"01","Nissan","Frontier L4","Camiones ligeros","Pick Ups",0
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2017,"01","Nissan","Kicks","Camiones ligeros","SUV's",4615
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2017,"01","Nissan","March","Automóviles","Subcompactos",5291
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2017,"01","Nissan","Note","Automóviles","Compactos",1993
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2017,"01","Nissan","NP300","Camiones ligeros","Pick Ups",10415
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2017,"01","Nissan","NV 200 Cargo","Camiones ligeros","SUV's",3486
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2017,"01","Nissan","NV 200 NY TAXI","Camiones ligeros","SUV's",14
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2017,"01","Nissan","Sentra","Automóviles","Compactos",20668
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2017,"01","Nissan","Tiida Sedan","Automóviles","Compactos",539
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2017,"01","Nissan","Tsuru 4 PTS","Automóviles","Subcompactos",3774
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2017,"01","Nissan","Versa","Automóviles","Compactos",16315
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2017,"01","Toyota","Tacoma-","Camiones ligeros","Pick Ups",7500
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2017,"01","Toyota","Yaris-R","Automóviles","Subcompactos",4478
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2017,"01","Volkswagen","Beetle","Automóviles","Compactos",1830
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2017,"01","Volkswagen","Beetle Cabrio","Automóviles","Compactos",1828
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2017,"01","Volkswagen","Golf-","Automóviles","Compactos",5636
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2017,"01","Volkswagen","Golf Variant-/Crossgolf","Automóviles","Compactos",3821
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2017,"01","Volkswagen","Jetta","Automóviles","Compactos",14286
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2017,"01","Volkswagen","Nuevo Jetta TDI","Automóviles","Compactos",335
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2017,"01","Volkswagen","Tiguan-","Camiones ligeros","SUV's",8
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2017,"02","Audi","Q5","Camiones ligeros","SUV's",7759
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2017,"02","Chrysler","Crew Cab-","Camiones ligeros","Pick Ups",18316
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2017,"02","Chrysler","Journey","Camiones ligeros","SUV's",14425
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2017,"02","Chrysler","Promaster","Camiones ligeros","SUV's",3796
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2017,"02","Chrysler","RAM 1500-","Camiones ligeros","Pick Ups",22
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2017,"02","Chrysler","RAM 2500-","Camiones ligeros","Pick Ups",2570
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2017,"02","Chrysler","RAM 4000","Camiones ligeros","Pick Ups",3842
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2017,"02","Fiat","Fiat 500-","Automóviles","Subcompactos",1072
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2017,"02","Ford Motor","Fiesta NA Sedan","Automóviles","Subcompactos",6581
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2017,"02","Ford Motor","Fusion","Automóviles","Compactos",7316
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2017,"02","Ford Motor","Fusion Hibrido","Automóviles","Compactos",4360
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2017,"02","Ford Motor","MKZ-","Automóviles","De Lujo",1662
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2017,"02","General Motors","Aveo-","Automóviles","Subcompactos",8687
