"PROD_EST","COBERTURA","ANIO","ID_MES","MARCA","MODELO","TIPO","SEGMENTO","UNI_VEH"
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"01","Nissan","Estacas Largo","Camiones ligeros","Pick Ups",286
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"01","Nissan","Pickup Doble Cabina","Camiones ligeros","Pick Ups",1125
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"01","Nissan","Pickup King Cab STD","Camiones ligeros","Pick Ups",0
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"01","Nissan","Pickup Largo","Camiones ligeros","Pick Ups",582
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"01","Nissan","Platina 4 PTS","Automóviles","Subcompactos",2464
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"01","Nissan","Sentra","Automóviles","Compactos",15749
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"01","Nissan","Sentra 4 PTS","Automóviles","Compactos",0
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"01","Nissan","Tiida Sedan","Automóviles","Compactos",2624
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"01","Nissan","Tiida 5 PTS","Automóviles","Compactos",12009
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"01","Nissan","Tsubame","Automóviles","Compactos",0
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"01","Nissan","Tsuru 4 PTS","Automóviles","Subcompactos",9523
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"01","Renault","Clio","Automóviles","Subcompactos",220
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"01","Renault","Scenic","Automóviles","Compactos",0
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"01","Volkswagen","Beetle","Automóviles","Compactos",1222
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"01","Volkswagen","Beetle Cabrio","Automóviles","Compactos",532
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"01","Volkswagen","Bora","Automóviles","Compactos",15563
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"01","Volkswagen","Bora TDI","Automóviles","Compactos",163
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"01","Volkswagen","Jetta TDI","Automóviles","Compactos",19
