"PROD_EST","COBERTURA","ANIO","ID_MES","MARCA","MODELO","TIPO","SEGMENTO","UNI_VEH"
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2008,"01","Chrysler","Journey","Camiones ligeros","SUV's",3599
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2008,"01","Chrysler","PT Cruiser","Automóviles","Compactos",4000
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2008,"01","Chrysler","RAM 1500-","Camiones ligeros","Pick Ups",370
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2008,"01","Chrysler","RAM 2500-","Camiones ligeros","Pick Ups",2743
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2008,"01","Chrysler","RAM 3500","Camiones ligeros","Pick Ups",3085
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2008,"01","Chrysler","RAM 4000","Camiones ligeros","Pick Ups",358
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2008,"01","Ford Motor","F 150","Camiones ligeros","Pick Ups",669
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2008,"01","Ford Motor","F 250","Camiones ligeros","Pick Ups",413
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2008,"01","Ford Motor","F 350","Camiones ligeros","Pick Ups",1328
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2008,"01","Ford Motor","F 450","Camiones ligeros","Pick Ups",135
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2008,"01","Ford Motor","F 550","Camiones ligeros","Pick Ups",0
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2008,"01","Ford Motor","Fusion","Automóviles","Compactos",17795
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2008,"01","Ford Motor","H - 215","Camiones ligeros","Pick Ups",460
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2008,"01","Ford Motor","LCF","Camiones ligeros","Pick Ups",66
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2008,"01","Ford Motor","Milan-","Automóviles","De Lujo",1755
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2008,"01","Ford Motor","MKZ-","Automóviles","De Lujo",2156
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2008,"01","General Motors","Avalanche UUV","Camiones ligeros","Pick Ups",4665
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2008,"01","General Motors","Captiva Sport","Camiones ligeros","SUV's",720
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2008,"01","General Motors","Chevy 3 Ptas","Automóviles","Subcompactos",1782
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2008,"01","General Motors","Chevy 4 PTAS","Automóviles","Subcompactos",1811
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2008,"01","General Motors","Chevy 5 Ptas","Automóviles","Subcompactos",1303
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2008,"01","General Motors","Escalade EXT UUV 4X4","Camiones ligeros","Minivans",807
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2008,"01","General Motors","GMC Sierra Doble Cabina","Camiones ligeros","Pick Ups",3235
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2008,"01","General Motors","HHR 5 PTAS","Automóviles","Compactos",7641
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2008,"01","General Motors","Kodiak Chassis Cab Class 7 PBV33,000","Camiones ligeros","Pick Ups",65
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2008,"01","General Motors","Kodiak Chassis Cab Class 8 PBV36,000","Camiones ligeros","Pick Ups",115
