PROD_EST,COBERTURA,ANIO,ID_ENTIDAD,ID_MUNICIPIO,AUTO_OFICIAL,AUTO_PUBLICO,AUTO_PARTICULAR,CAM_PAS_OFICIAL,CAM_PAS_PUBLICO,CAM_PAS_PARTICULAR,CYC_CARGA_OFICIAL,CYC_CARGA_PUBLICO,CYC_CARGA_PARTICULAR,MOTO_OFICIAL,MOTO_DE_ALQUILER,MOTO_PARTICULAR,ESTATUS
Vehículos de motor registrados en circulación. Anual,Municipal,2002,01,001,1013,2899,123217,15,937,419,776,239,57242,203,0,8358,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2002,01,002,5,12,974,0,16,5,6,0,2293,0,0,21,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2002,01,003,6,83,3337,0,24,3,12,0,8017,0,0,89,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2002,01,004,1,8,489,0,3,2,11,0,986,0,0,12,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2002,01,005,15,33,4667,0,65,50,11,5,5227,0,0,200,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2002,01,006,5,37,2820,0,39,14,10,3,2819,0,0,44,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2002,01,007,2,46,2742,1,11,11,15,1,3802,0,0,45,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2002,01,008,2,15,319,0,20,2,3,1,820,0,0,5,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2002,01,009,2,26,608,0,4,1,12,0,1528,0,0,19,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2002,01,010,0,5,761,0,1,1,8,0,1763,0,0,15,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2002,01,011,7,8,1656,0,9,7,25,2,1861,0,0,43,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2002,02,001,0,0,106340,0,0,363,0,0,25653,0,0,471,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2002,02,002,0,1144,267038,0,761,404,0,279,84522,0,0,1091,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2002,02,003,0,65,26792,0,144,63,0,34,7822,0,0,126,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2002,02,004,0,5897,338863,0,2634,1072,0,1299,83579,0,0,2090,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2002,02,005,0,539,17125,0,31,30,0,126,6505,0,0,358,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2002,03,001,0,0,15970,0,39,40,0,125,15324,0,0,24,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2002,03,002,60,196,14305,13,5,10,14,78,13440,1,0,7,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2002,03,003,0,1387,76491,0,205,298,0,620,34312,0,0,831,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2002,03,008,214,2571,30848,48,194,54,106,283,18075,2,266,424,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2002,03,009,8,59,2032,0,4,0,7,39,1737,0,0,1,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2002,04,001,7,47,1669,0,2,3,24,8,742,0,0,22,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2002,04,002,848,542,25444,62,241,93,1818,190,9314,114,0,3470,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2002,04,003,154,584,20901,8,75,29,503,144,7142,14,0,1211,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2002,04,004,29,64,2246,2,20,4,83,13,2547,0,0,71,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2002,04,005,12,24,625,2,2,0,18,0,414,1,0,1,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2002,04,006,12,9,669,0,0,2,49,0,860,0,0,3,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2002,04,007,2,18,247,0,0,0,4,18,221,0,0,3,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2002,04,008,6,7,167,1,0,0,7,0,213,0,0,0,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2002,04,009,24,63,1649,1,17,6,101,73,2420,0,0,33,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2002,04,010,8,22,277,1,1,2,37,6,420,0,0,0,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2002,04,011,9,35,531,0,2,2,15,12,993,2,0,0,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2002,05,001,1,0,129,0,0,9,1,0,201,0,0,0,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2002,05,002,0,311,16762,0,134,488,0,112,7806,0,0,40,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2002,05,003,0,39,3598,0,35,628,1,28,2996,0,0,15,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2002,05,004,0,4,1146,0,45,179,3,20,2229,0,0,7,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2002,05,005,0,0,284,0,0,124,0,0,389,0,0,0,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2002,05,006,2,16,2222,0,60,216,7,29,2352,0,0,13,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2002,05,007,0,4,712,0,9,107,0,8,1577,0,0,0,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2002,05,008,0,0,164,0,1,27,1,0,367,0,0,0,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2002,05,009,0,21,3556,0,10,441,2,58,3127,0,0,14,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2002,05,010,3,60,7801,0,225,727,9,168,4302,0,0,36,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2002,05,011,0,0,348,0,0,64,0,0,883,0,0,0,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2002,05,012,0,0,363,0,0,50,0,0,354,0,0,0,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2002,05,013,0,0,176,0,0,4,0,0,277,0,0,0,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2002,05,014,0,0,654,0,1,25,0,1,1202,0,0,0,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2002,05,015,0,0,93,0,0,22,0,0,319,0,0,0,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2002,05,016,0,0,194,0,0,22,0,0,165,0,0,0,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2002,05,017,6,36,6442,0,175,642,9,128,6269,0,0,15,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2002,05,018,41,398,37154,0,616,2252,29,303,18253,0,0,237,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2002,05,019,2,15,1171,0,1,135,0,9,1394,0,0,0,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2002,05,020,1,164,7047,0,25,551,12,271,7302,0,0,13,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2002,05,021,0,0,652,0,10,42,0,0,491,0,0,0,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2002,05,022,0,33,3377,0,8,569,1,12,2427,0,0,3,Cifras Definitivas.
