PROD_EST,COBERTURA,ANIO,ID_ENTIDAD,ID_MUNICIPIO,AUTO_OFICIAL,AUTO_PUBLICO,AUTO_PARTICULAR,CAM_PAS_OFICIAL,CAM_PAS_PUBLICO,CAM_PAS_PARTICULAR,CYC_CARGA_OFICIAL,CYC_CARGA_PUBLICO,CYC_CARGA_PARTICULAR,MOTO_OFICIAL,MOTO_DE_ALQUILER,MOTO_PARTICULAR,ESTATUS
Vehículos de motor registrados en circulación. Anual,Municipal,1986,01,001,1125,1000,35209,33,548,83,978,607,21629,34,0,2282,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,1986,01,002,2,26,140,1,0,2,2,0,423,0,0,48,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,1986,01,003,4,48,450,0,0,1,12,1,1203,0,0,50,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,1986,01,004,1,12,101,0,0,0,4,0,170,0,0,13,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,1986,01,005,3,15,284,0,19,1,3,0,599,0,0,80,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,1986,01,006,14,43,500,0,2,1,23,0,505,0,0,26,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,1986,01,007,3,30,373,0,0,2,7,0,625,0,0,41,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,1986,01,008,2,28,75,0,0,0,3,0,101,0,0,9,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,1986,01,009,0,37,60,0,0,1,7,0,228,0,0,11,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,1986,02,001,54,235,69643,0,172,0,36,344,19974,7,0,185,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,1986,02,002,750,780,117867,35,457,0,80,603,56360,22,0,1735,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,1986,02,003,11,64,41055,0,23,0,0,109,5124,0,0,44,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,1986,02,004,315,2274,144655,0,747,0,127,804,36933,35,0,837,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,1986,03,001,48,212,5899,8,23,0,150,173,7608,0,0,90,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,1986,03,002,25,120,2020,0,19,0,10,55,3210,0,0,35,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,1986,03,003,423,369,23109,0,137,26,920,225,8395,21,50,438,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,1986,03,008,65,236,3161,6,12,0,51,61,2944,0,0,41,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,1986,04,001,42,51,372,20,6,4,28,17,168,2,0,107,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,1986,04,002,210,214,10981,0,70,50,109,175,8263,0,0,2429,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,1986,04,003,0,567,6486,0,40,0,0,299,5291,0,0,3629,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,1986,04,004,23,20,2361,4,135,3,17,0,3637,0,0,188,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,1986,04,005,32,21,174,2,3,1,31,15,129,13,0,37,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,1986,04,006,14,10,192,0,2,0,42,110,250,0,0,45,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,1986,04,007,11,32,135,14,90,24,5,38,370,0,0,16,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,1986,04,008,0,2,50,0,0,2,3,0,61,0,0,7,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,1986,05,002,35,114,6815,0,27,0,0,109,3297,0,0,65,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,1986,05,003,5,49,1194,0,6,0,2,0,955,0,0,7,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,1986,05,010,3,75,4607,0,0,0,6,58,2833,0,0,257,Cifras Definitivas.
