PROD_EST,COBERTURA,ANIO,ID_ENTIDAD,ID_MUNICIPIO,AUTO_OFICIAL,AUTO_PUBLICO,AUTO_PARTICULAR,CAM_PAS_OFICIAL,CAM_PAS_PUBLICO,CAM_PAS_PARTICULAR,CYC_CARGA_OFICIAL,CYC_CARGA_PUBLICO,CYC_CARGA_PARTICULAR,MOTO_OFICIAL,MOTO_DE_ALQUILER,MOTO_PARTICULAR,ESTATUS
Vehículos de motor registrados en circulación. Anual,Municipal,1989,01,001,1140,1162,40221,36,672,102,1001,794,25072,32,0,2554,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,1989,01,002,2,32,153,1,6,2,2,15,450,0,0,51,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,1989,01,003,4,63,501,0,22,1,12,21,1310,0,0,96,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,1989,01,004,1,12,117,0,0,0,4,8,182,0,0,15,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,1989,01,005,4,21,323,0,38,1,3,19,651,0,0,78,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,1989,01,006,8,54,560,0,15,1,14,20,546,0,0,80,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,1989,01,007,3,30,414,0,12,2,7,23,665,0,0,70,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,1989,01,008,2,23,96,0,0,0,3,8,109,0,0,13,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,1989,01,009,0,31,80,0,2,1,6,11,249,0,0,15,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,1989,02,001,72,209,69942,0,174,0,32,414,23118,7,0,198,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,1989,02,002,806,790,140506,37,516,0,81,892,56593,22,0,2114,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,1989,02,003,11,65,34706,0,27,0,0,119,5655,0,0,74,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,1989,02,004,316,3192,148576,0,746,0,132,1070,39519,36,0,1102,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,1989,03,001,71,267,6234,10,26,4,171,253,7880,0,0,90,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,1989,03,002,24,172,2127,5,30,0,17,69,3395,0,0,43,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,1989,03,003,451,554,24132,15,144,32,915,383,9714,20,45,547,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,1989,03,008,73,262,3685,6,27,0,74,86,3585,0,0,63,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,1989,04,001,36,57,520,10,25,3,24,30,252,6,0,108,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,1989,04,002,218,433,13831,0,109,56,107,315,9604,0,0,2488,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,1989,04,003,0,942,11145,0,75,0,0,392,8269,0,0,3726,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,1989,04,004,27,45,2394,6,132,5,19,39,3668,0,0,211,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,1989,04,005,23,32,234,2,6,0,30,36,173,0,0,49,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,1989,04,006,26,27,279,0,10,0,40,104,309,0,0,56,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,1989,04,007,12,34,146,13,89,20,5,40,383,0,0,21,Cifras Definitivas.
