PROD_EST,COBERTURA,ANIO,ID_ENTIDAD,ID_MUNICIPIO,AUTO_OFICIAL,AUTO_PUBLICO,AUTO_PARTICULAR,CAM_PAS_OFICIAL,CAM_PAS_PUBLICO,CAM_PAS_PARTICULAR,CYC_CARGA_OFICIAL,CYC_CARGA_PUBLICO,CYC_CARGA_PARTICULAR,MOTO_OFICIAL,MOTO_DE_ALQUILER,MOTO_PARTICULAR,ESTATUS
Vehículos de motor registrados en circulación. Anual,Municipal,2010,01,001,1307,5021,224047,2,1441,367,1152,1119,88797,264,2,14810,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2010,01,002,5,24,2678,1,1,11,28,16,3769,6,0,120,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2010,01,003,4,154,6895,0,1,3,24,4,10731,2,0,145,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2010,01,004,3,15,1106,0,0,4,15,0,1485,0,0,84,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2010,01,005,10,80,12676,0,50,55,47,12,9211,9,0,763,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2010,01,006,14,101,5772,0,4,14,36,21,4061,11,0,576,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2010,01,007,10,71,5520,0,3,32,23,13,5903,3,0,631,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2010,01,008,5,21,698,0,0,1,8,3,1399,0,0,25,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2010,01,009,4,32,1416,0,0,2,20,0,2454,0,0,57,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2010,01,010,10,15,1543,0,0,0,21,0,2557,0,0,54,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2010,01,011,9,28,4845,0,0,18,43,6,3909,2,0,207,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2010,02,001,0,134,74571,0,360,433,0,244,29556,0,0,469,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2010,02,002,0,239,220163,0,655,304,0,496,60045,0,0,1839,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2010,02,003,0,64,24699,0,52,151,0,85,10456,0,0,179,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2010,02,004,0,2750,322514,0,2103,404,0,2451,98102,0,0,3995,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2010,02,005,0,499,20625,0,165,37,0,47,8874,0,0,197,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2010,03,001,3,971,38245,0,149,65,41,1528,30932,5,0,38,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2010,03,002,83,152,11704,36,0,27,83,121,9238,2,0,61,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2010,03,003,0,1528,138973,0,451,459,0,1286,49082,0,0,2999,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2010,03,008,274,2940,115871,178,355,1768,257,721,67277,17,710,3165,Cifras Definitivas.
