PROD_EST,COBERTURA,ANIO,ID_ENTIDAD,ID_MUNICIPIO,AUTO_OFICIAL,AUTO_PUBLICO,AUTO_PARTICULAR,CAM_PAS_OFICIAL,CAM_PAS_PUBLICO,CAM_PAS_PARTICULAR,CYC_CARGA_OFICIAL,CYC_CARGA_PUBLICO,CYC_CARGA_PARTICULAR,MOTO_OFICIAL,MOTO_DE_ALQUILER,MOTO_PARTICULAR,ESTATUS
Vehículos de motor registrados en circulación. Anual,Municipal,1985,01,001,1112,757,31424,33,528,81,973,605,19403,34,0,2062,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,1985,01,002,2,23,130,1,0,2,2,0,411,0,0,52,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,1985,01,003,4,44,417,0,0,1,12,1,1176,0,0,52,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,1985,01,004,1,9,95,0,0,0,4,0,162,0,0,11,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,1985,01,005,3,11,271,0,19,1,3,0,576,0,0,82,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,1985,01,006,14,40,478,0,2,1,23,0,493,0,0,22,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,1985,01,007,3,27,359,0,0,2,7,0,613,0,0,36,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,1985,01,008,2,25,65,0,0,0,3,0,95,0,0,6,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,1985,01,009,0,34,53,0,0,1,7,0,216,0,0,9,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,1985,02,001,59,232,76626,0,147,0,37,361,20609,7,0,184,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,1985,02,002,751,502,107865,0,406,0,65,407,57137,12,0,1657,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,1985,02,003,9,53,43659,0,14,0,0,116,5346,0,0,37,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,1985,02,004,329,2330,148939,0,608,0,116,828,37187,38,0,867,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,1985,03,001,29,165,6394,9,12,0,151,21,6638,0,0,91,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,1985,03,002,25,132,2137,0,18,0,10,32,3135,0,0,35,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,1985,03,003,424,379,22584,0,144,25,923,281,8451,19,50,427,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,1985,03,008,41,180,2806,3,4,0,38,61,2800,0,0,37,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,1985,04,001,42,49,360,22,3,4,28,15,166,2,0,107,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,1985,04,002,208,200,10644,0,66,51,107,169,8096,0,0,2429,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,1985,04,003,0,554,6281,0,39,0,0,293,5183,0,0,3628,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,1985,04,004,21,13,2296,2,134,3,16,0,3563,0,0,188,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,1985,04,005,39,9,172,3,0,2,30,7,125,11,0,37,Cifras Definitivas.
