"PROD_EST","COBERTURA","ANIO","ID_MES","MARCA","MODELO","TIPO","SEGMENTO","ORIGEN","ID_PAIS_ORIGEN","UNI_VEH"
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2008,"01","Acura","Mdx","Camiones ligeros","SUV's","IMPORTADO",40,82
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2008,"01","Acura","Rdx","Camiones ligeros","SUV's","IMPORTADO",66,28
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2008,"01","Acura","Rl","Automóviles","De Lujo","IMPORTADO",126,5
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2008,"01","Acura","Tl 3.5l","Automóviles","De Lujo","IMPORTADO",66,29
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2008,"01","Audi","Audi Q7 3.0 TDI","Camiones ligeros","SUV's","IMPORTADO",4,19
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2008,"01","Audi","Audi Q7 3.6","Camiones ligeros","SUV's","IMPORTADO",62,33
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2008,"01","Audi","Audi Q7 4.2","Camiones ligeros","SUV's","IMPORTADO",4,11
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2008,"01","Audi","A3","Automóviles","De Lujo","IMPORTADO",31,108
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2008,"01","Audi","A4 1.8T","Automóviles","De Lujo","IMPORTADO",4,42
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2008,"01","Audi","A4 2.0","Automóviles","De Lujo","IMPORTADO",4,75
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2008,"01","Audi","A4 2.0 Cabrio","Automóviles","De Lujo","IMPORTADO",4,3
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2008,"01","Audi","A5 3.2","Automóviles","De Lujo","IMPORTADO",4,6
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2008,"01","Audi","A6 2.8","Automóviles","De Lujo","IMPORTADO",4,14
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2008,"01","Audi","A6 3.2","Automóviles","De Lujo","IMPORTADO",4,20
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2008,"01","Audi","A6 4.2","Automóviles","De Lujo","IMPORTADO",4,4
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2008,"01","Audi","A8 4.2","Automóviles","De Lujo","IMPORTADO",4,2
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2008,"01","Audi","R8","Automóviles","De Lujo","IMPORTADO",4,2
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2008,"01","Audi","Sportback","Automóviles","De Lujo","IMPORTADO",4,42
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2008,"01","Audi","S3 2.0","Automóviles","De Lujo","IMPORTADO",4,8
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2008,"01","Audi","S4 4.2","Automóviles","De Lujo","IMPORTADO",4,1
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2008,"01","Audi","S5 4.2","Automóviles","De Lujo","IMPORTADO",4,1
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2008,"01","Audi","S8","Automóviles","De Lujo","IMPORTADO",4,3
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2008,"01","Audi","TT Coupe","Automóviles","De Lujo","IMPORTADO",94,24
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2008,"01","Audi","TT Roadster","Automóviles","De Lujo","IMPORTADO",94,7
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2008,"01","Bentley","Arnage R","Automóviles","De Lujo","IMPORTADO",181,1
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2008,"01","Bentley","Continental Flying Spur","Automóviles","De Lujo","IMPORTADO",181,1
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2008,"01","Bentley","Continental Gt Convertible","Automóviles","De Lujo","IMPORTADO",181,1
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2008,"01","BMW","M3","Automóviles","De Lujo","IMPORTADO",4,20
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2008,"01","BMW","M5","Automóviles","De Lujo","IMPORTADO",4,1
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2008,"01","BMW","X3 2.5I","Camiones ligeros","SUV's","IMPORTADO",17,68
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2008,"01","BMW","X3 3.0I","Camiones ligeros","SUV's","IMPORTADO",17,18
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2008,"01","BMW","X5 3.0I","Camiones ligeros","SUV's","IMPORTADO",66,67
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2008,"01","BMW","X5 4.8I","Camiones ligeros","SUV's","IMPORTADO",66,39
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2008,"01","BMW","Z4","Automóviles","De Lujo","IMPORTADO",66,10
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2008,"01","BMW","120I","Automóviles","De Lujo","IMPORTADO",4,53
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2008,"01","BMW","120i 3p","Automóviles","De Lujo","IMPORTADO",4,39
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2008,"01","BMW","130I","Automóviles","De Lujo","IMPORTADO",4,1
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2008,"01","BMW","130i 3p","Automóviles","De Lujo","IMPORTADO",4,6
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2008,"01","BMW","325I","Automóviles","De Lujo","IMPORTADO",4,203
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2008,"01","BMW","325i Cabrio","Automóviles","De Lujo","IMPORTADO",4,11
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2008,"01","BMW","325i Coupe","Automóviles","De Lujo","IMPORTADO",4,18
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2008,"01","BMW","335i","Automóviles","De Lujo","IMPORTADO",4,29
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2008,"01","BMW","335i Cabrio","Automóviles","De Lujo","IMPORTADO",4,13
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2008,"01","BMW","335i Coupe","Automóviles","De Lujo","IMPORTADO",4,20
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2008,"01","BMW","525I","Automóviles","De Lujo","IMPORTADO",4,26
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2008,"01","BMW","530I","Automóviles","De Lujo","IMPORTADO",4,33
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2008,"01","BMW","550I","Automóviles","De Lujo","IMPORTADO",4,10
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2008,"01","BMW","650I","Automóviles","De Lujo","IMPORTADO",4,3
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2008,"01","BMW","750I","Automóviles","De Lujo","IMPORTADO",4,1
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2008,"01","Chrysler","Aspen","Camiones ligeros","SUV's","IMPORTADO",66,109
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2008,"01","Chrysler","Atos","Automóviles","Subcompactos","IMPORTADO",48,749
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2008,"01","Chrysler","Attitude","Automóviles","Subcompactos","IMPORTADO",214,1209
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2008,"01","Chrysler","Avenger","Automóviles","Compactos","IMPORTADO",66,954
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2008,"01","Chrysler","Caliber","Automóviles","Compactos","IMPORTADO",66,607
