"PROD_EST","COBERTURA","ANIO","ID_MES","MARCA","MODELO","TIPO","SEGMENTO","ORIGEN","ID_PAIS_ORIGEN","UNI_VEH"
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2016,"01","Acura","ILX","Automóviles","De Lujo","IMPORTADO",66,39
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2016,"01","Acura","Mdx","Camiones ligeros","SUV's","IMPORTADO",40,55
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2016,"01","Acura","Rdx","Camiones ligeros","SUV's","IMPORTADO",66,77
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2016,"01","Acura","TLX","Automóviles","De Lujo","IMPORTADO",66,34
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2016,"01","Alfa Romeo","Alfa Romeo Giulietta Progression Manual","Automóviles","Deportivos","IMPORTADO",124,9
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2016,"01","Alfa Romeo","Alfa Romeo Mito Quadrifoglio Verde Manual","Automóviles","Deportivos","IMPORTADO",124,13
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2016,"01","Alfa Romeo","4C","Automóviles","De Lujo","IMPORTADO",124,1
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2016,"01","Audi","A1-","Automóviles","De Lujo","IMPORTADO",23,255
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2016,"01","Audi","A3-","Automóviles","De Lujo","IMPORTADO",4,408
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2016,"01","Audi","A4","Automóviles","De Lujo","IMPORTADO",4,50
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2016,"01","Audi","A5","Automóviles","De Lujo","IMPORTADO",4,27
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2016,"01","Audi","A6","Automóviles","De Lujo","IMPORTADO",4,20
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2016,"01","Audi","A7","Automóviles","De Lujo","IMPORTADO",4,13
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2016,"01","Audi","A8","Automóviles","De Lujo","IMPORTADO",4,2
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2016,"01","Audi","Q3-","Camiones ligeros","SUV's","IMPORTADO",64,136
