"PROD_EST","COBERTURA","ANIO","ID_MES","MARCA","MODELO","TIPO","SEGMENTO","ORIGEN","ID_PAIS_ORIGEN","UNI_VEH"
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2011,"01","Acura","Mdx","Camiones ligeros","SUV's","IMPORTADO",40,24
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2011,"01","Acura","Rdx","Camiones ligeros","SUV's","IMPORTADO",66,21
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2011,"01","Acura","Tl 3.5l","Automóviles","De Lujo","IMPORTADO",66,27
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2011,"01","Acura","Tl 3.7l","Automóviles","De Lujo","IMPORTADO",66,5
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2011,"01","Acura","TSX 2.4L","Automóviles","De Lujo","IMPORTADO",40,27
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2011,"01","Acura","Tsx 3.5l","Automóviles","De Lujo","IMPORTADO",40,6
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2011,"01","Acura","ZDX","Camiones ligeros","SUV's","IMPORTADO",40,1
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2011,"01","Audi","A 1 1.4T","Automóviles","De Lujo","IMPORTADO",4,63
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2011,"01","Audi","Audi Q7 3.0 TDI","Camiones ligeros","SUV's","IMPORTADO",4,5
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2011,"01","Audi","Audi Q7 4.2 TDI","Camiones ligeros","SUV's","IMPORTADO",62,3
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2011,"01","Audi","A3","Automóviles","De Lujo","IMPORTADO",31,58
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2011,"01","Audi","A3 Cabrio","Automóviles","De Lujo","IMPORTADO",94,1
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2011,"01","Audi","A4 1.8T","Automóviles","De Lujo","IMPORTADO",4,119
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2011,"01","Audi","A4 2.0","Automóviles","De Lujo","IMPORTADO",4,28
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2011,"01","Audi","A5 2.0","Automóviles","De Lujo","IMPORTADO",4,10
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2011,"01","Audi","A5 2.0T Sportback","Automóviles","Deportivos","IMPORTADO",4,22
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2011,"01","Audi","A5 3.2","Automóviles","De Lujo","IMPORTADO",4,1
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2011,"01","Audi","A5 3.2 Sportback","Automóviles","Deportivos","IMPORTADO",4,1
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2011,"01","Audi","A6 2.8","Automóviles","De Lujo","IMPORTADO",4,1
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2011,"01","Audi","A6 3.0","Automóviles","De Lujo","IMPORTADO",4,4
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2011,"01","Audi","A8 4.2","Automóviles","De Lujo","IMPORTADO",4,1
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2011,"01","Audi","Q5 2.0T","Camiones ligeros","SUV's","IMPORTADO",4,62
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2011,"01","Audi","Q5 3.0 TDI","Camiones ligeros","SUV's","IMPORTADO",4,4
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2011,"01","Audi","Q5 3.2","Camiones ligeros","SUV's","IMPORTADO",4,5
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2011,"01","Audi","Q7 3.0T FSI","Camiones ligeros","SUV's","IMPORTADO",4,24
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2011,"01","Audi","RS5 4.2","Automóviles","De Lujo","IMPORTADO",4,1
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2011,"01","Audi","R8","Automóviles","De Lujo","IMPORTADO",4,1
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2011,"01","Audi","Sportback","Automóviles","De Lujo","IMPORTADO",4,27
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2011,"01","Audi","S3 2.0","Automóviles","De Lujo","IMPORTADO",4,6
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2011,"01","Audi","S8","Automóviles","De Lujo","IMPORTADO",4,1
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2011,"01","Audi","TT Coupe","Automóviles","De Lujo","IMPORTADO",94,2
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2011,"01","Bentley","Continental Flying Spur","Automóviles","De Lujo","IMPORTADO",181,2
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2011,"01","BMW","M3","Automóviles","De Lujo","IMPORTADO",4,3
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2011,"01","BMW","X1 Xdrive 28i","Automóviles","De Lujo","IMPORTADO",17,8
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2011,"01","BMW","X1 Xdrive25i","Automóviles","De Lujo","IMPORTADO",4,10
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2011,"01","BMW","X3 2.5I","Camiones ligeros","SUV's","IMPORTADO",17,1
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2011,"01","BMW","X3 3.0I","Camiones ligeros","SUV's","IMPORTADO",17,1
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2011,"01","BMW","X5 M","Camiones ligeros","SUV's","IMPORTADO",4,1
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2011,"01","BMW","X5 Xdrive35I","Camiones ligeros","SUV's","IMPORTADO",66,30
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2011,"01","BMW","X5 Xdrive50I","Camiones ligeros","SUV's","IMPORTADO",66,22
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2011,"01","BMW","X6","Camiones ligeros","SUV's","IMPORTADO",66,4
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2011,"01","BMW","X6 M","Camiones ligeros","SUV's","IMPORTADO",4,1
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2011,"01","BMW","Z4","Automóviles","De Lujo","IMPORTADO",66,14
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2011,"01","BMW","120I","Automóviles","De Lujo","IMPORTADO",4,29
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2011,"01","BMW","120i 3p","Automóviles","De Lujo","IMPORTADO",4,21
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2011,"01","BMW","125i Coupe","Automóviles","De Lujo","IMPORTADO",4,17
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2011,"01","BMW","130i 3p","Automóviles","De Lujo","IMPORTADO",4,1
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2011,"01","BMW","135i Coupe","Automóviles","De Lujo","IMPORTADO",4,6
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2011,"01","BMW","325I","Automóviles","De Lujo","IMPORTADO",4,201
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2011,"01","BMW","325i Cabrio","Automóviles","De Lujo","IMPORTADO",4,14
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2011,"01","BMW","325i Coupe","Automóviles","De Lujo","IMPORTADO",4,15
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2011,"01","BMW","335i","Automóviles","De Lujo","IMPORTADO",4,13
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2011,"01","BMW","335i Cabrio","Automóviles","De Lujo","IMPORTADO",4,4
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2011,"01","BMW","335i Coupe","Automóviles","De Lujo","IMPORTADO",4,13
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2011,"01","BMW","528I","Automóviles","De Lujo","IMPORTADO",4,33
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2011,"01","BMW","535I","Automóviles","De Lujo","IMPORTADO",4,24
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2011,"01","BMW","535i Gran Turismo","Automóviles","De Lujo","IMPORTADO",4,9
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2011,"01","BMW","550I","Automóviles","De Lujo","IMPORTADO",4,3
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2011,"01","BMW","740I","Automóviles","De Lujo","IMPORTADO",4,2
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2011,"01","BMW","750I","Automóviles","De Lujo","IMPORTADO",4,3
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2011,"01","Chrysler","Atos","Automóviles","Subcompactos","IMPORTADO",48,404
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2011,"01","Chrysler","Attitude","Automóviles","Subcompactos","IMPORTADO",214,784
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2011,"01","Chrysler","Avenger","Automóviles","Compactos","IMPORTADO",66,214
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2011,"01","Chrysler","Caliber","Automóviles","Compactos","IMPORTADO",66,93
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2011,"01","Chrysler","Challenger","Automóviles","Deportivos","IMPORTADO",40,23
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2011,"01","Chrysler","Charger","Automóviles","De Lujo","IMPORTADO",40,15
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2011,"01","Chrysler","Chrysler 300","Automóviles","De Lujo","IMPORTADO",40,5
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2011,"01","Chrysler","CHRYSLER 300C","Automóviles","De Lujo","IMPORTADO",40,5
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2011,"01","Chrysler","Cirrus","Automóviles","Compactos","IMPORTADO",66,9
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2011,"01","Chrysler","Crew Cab","Camiones ligeros","Pick Ups","IMPORTADO",66,46
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2011,"01","Chrysler","Crew Cab-","Camiones ligeros","Pick Ups","NACIONAL",1,229
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2011,"01","Chrysler","Dakota","Camiones ligeros","Pick Ups","IMPORTADO",66,172
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2011,"01","Chrysler","Grand Cherokee","Camiones ligeros","SUV's","IMPORTADO",66,477
