PROD_EST,COBERTURA,ANIO,ID_ENTIDAD,ID_MUNICIPIO,AUTO_OFICIAL,AUTO_PUBLICO,AUTO_PARTICULAR,CAM_PAS_OFICIAL,CAM_PAS_PUBLICO,CAM_PAS_PARTICULAR,CYC_CARGA_OFICIAL,CYC_CARGA_PUBLICO,CYC_CARGA_PARTICULAR,MOTO_OFICIAL,MOTO_DE_ALQUILER,MOTO_PARTICULAR,ESTATUS
Vehículos de motor registrados en circulación. Anual,Municipal,2018,01,001,518,4179,291531,9,2623,570,613,3557,97043,235,1,47629,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2018,01,002,1,36,5211,0,4,17,3,26,4924,4,0,3076,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2018,01,003,3,155,10436,0,3,17,14,21,11999,6,0,1292,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2018,01,004,1,14,2143,0,0,4,6,0,1675,0,0,840,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2018,01,005,19,191,29734,0,96,80,35,192,13805,23,0,5620,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2018,01,006,2,164,8754,0,4,16,8,27,4983,4,0,1408,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2018,01,007,6,101,8678,0,1,35,6,13,6490,1,0,4905,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2018,01,008,3,50,1371,0,0,1,3,3,1711,0,0,356,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2018,01,009,0,39,2856,0,0,4,10,1,2782,0,0,895,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2018,01,010,2,35,3195,0,0,8,4,1,3103,0,0,1300,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2018,01,011,16,82,10506,0,6,12,17,542,5240,2,0,1921,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2018,02,001,0,1896,152972,0,2694,1221,0,436,56741,0,0,1774,Cifras Revisadas.
Vehículos de motor registrados en circulación. Anual,Municipal,2018,02,002,0,6270,428425,0,1721,788,0,647,118421,0,0,6935,Cifras Revisadas.
Vehículos de motor registrados en circulación. Anual,Municipal,2018,02,003,0,394,43567,0,264,205,0,113,17342,0,0,634,Cifras Revisadas.
Vehículos de motor registrados en circulación. Anual,Municipal,2018,02,004,0,15296,638022,0,9924,1022,0,715,172124,0,0,16353,Cifras Revisadas.
Vehículos de motor registrados en circulación. Anual,Municipal,2018,02,005,0,3866,38693,0,377,57,0,113,14368,0,0,774,Cifras Revisadas.
Vehículos de motor registrados en circulación. Anual,Municipal,2018,03,001,3,1005,45228,2,152,129,41,1559,34547,14,0,148,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2018,03,002,83,181,21358,49,6,122,0,153,15347,4,0,123,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2018,03,003,113,3024,165940,33,589,803,39,1281,54788,5,0,5328,Cifras Definitivas.
