PROD_EST,COBERTURA,ANIO,ID_ENTIDAD,ID_MUNICIPIO,AUTO_OFICIAL,AUTO_PUBLICO,AUTO_PARTICULAR,CAM_PAS_OFICIAL,CAM_PAS_PUBLICO,CAM_PAS_PARTICULAR,CYC_CARGA_OFICIAL,CYC_CARGA_PUBLICO,CYC_CARGA_PARTICULAR,MOTO_OFICIAL,MOTO_DE_ALQUILER,MOTO_PARTICULAR,ESTATUS
Vehículos de motor registrados en circulación. Anual,Municipal,2017,01,001,980,4078,276183,11,603,553,1276,189,94574,356,1,40432,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2017,01,002,4,32,4834,0,4,17,8,0,4890,4,0,2438,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2017,01,003,3,142,9616,0,0,18,24,1,11664,6,0,985,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2017,01,004,1,14,1973,0,0,4,6,0,1671,0,0,689,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2017,01,005,29,145,26519,0,87,82,53,8,13186,18,0,4393,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2017,01,006,8,95,8358,0,5,24,18,7,4875,4,0,1111,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2017,01,007,9,81,8288,0,1,34,20,2,6478,1,0,4044,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2017,01,008,4,50,1225,0,0,1,4,1,1683,0,0,281,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2017,01,009,1,38,2607,0,0,3,11,0,2788,0,0,731,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2017,01,010,7,29,2961,0,0,7,12,0,3083,0,0,1021,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2017,01,011,22,37,9626,0,0,16,41,2,5081,2,0,1492,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2017,02,001,0,441,149378,0,1078,1169,0,291,56119,0,0,1642,Cifras Revisadas.
Vehículos de motor registrados en circulación. Anual,Municipal,2017,02,002,0,1362,419944,0,695,751,0,477,118280,0,0,6553,Cifras Revisadas.
Vehículos de motor registrados en circulación. Anual,Municipal,2017,02,003,0,376,42306,0,192,198,0,77,17169,0,0,582,Cifras Revisadas.
