PROD_EST,COBERTURA,ANIO,ID_ENTIDAD,ID_MUNICIPIO,AUTO_OFICIAL,AUTO_PUBLICO,AUTO_PARTICULAR,CAM_PAS_OFICIAL,CAM_PAS_PUBLICO,CAM_PAS_PARTICULAR,CYC_CARGA_OFICIAL,CYC_CARGA_PUBLICO,CYC_CARGA_PARTICULAR,MOTO_OFICIAL,MOTO_DE_ALQUILER,MOTO_PARTICULAR,ESTATUS
Vehículos de motor registrados en circulación. Anual,Municipal,2001,01,001,1046,2731,114808,15,969,365,782,248,52185,203,0,7902,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2001,01,002,7,11,948,0,17,4,7,0,2070,0,0,18,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2001,01,003,4,77,3308,0,35,4,12,0,7394,0,0,85,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2001,01,004,1,8,492,0,4,2,11,0,886,0,0,9,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2001,01,005,15,31,4210,0,70,42,9,5,4690,0,0,172,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2001,01,006,2,34,2640,0,44,12,11,3,2516,0,0,39,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2001,01,007,2,45,2615,1,16,12,18,1,3468,0,0,41,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2001,01,008,2,11,298,0,19,2,3,1,731,0,0,5,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2001,01,009,2,23,589,0,4,1,12,0,1420,0,0,14,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2001,01,010,0,4,736,0,2,2,7,0,1563,0,0,14,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2001,01,011,5,8,1527,0,9,7,25,1,1583,0,0,35,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2001,02,001,0,268,96622,0,490,280,0,927,22759,0,0,432,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2001,02,002,0,1040,232294,0,906,367,0,1158,77667,0,0,1008,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2001,02,003,0,64,24196,0,40,55,0,65,6702,0,0,136,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2001,02,004,0,5496,297646,0,1802,1053,0,1777,71175,0,0,1970,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2001,02,005,0,298,14836,0,65,28,0,101,5518,0,0,347,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2001,03,001,0,156,14341,0,39,37,0,102,12903,0,0,24,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2001,03,002,56,196,13975,13,5,9,14,78,13105,1,0,7,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2001,03,003,0,1297,67825,0,167,152,0,570,31647,0,0,718,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2001,03,008,214,2005,24598,48,154,54,106,509,14561,2,703,255,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2001,03,009,7,61,1788,0,3,0,7,35,1515,0,0,1,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2001,04,001,7,40,1453,0,1,3,27,9,673,0,0,22,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2001,04,002,855,317,22564,57,249,73,1801,188,8322,114,0,3117,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2001,04,003,148,474,17963,7,76,22,502,149,6285,14,0,1134,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2001,04,004,32,59,1991,2,20,4,74,0,2282,0,0,22,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2001,04,005,12,21,521,2,1,0,20,0,375,1,0,1,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2001,04,006,16,9,602,0,0,2,41,0,793,0,0,3,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2001,04,007,2,9,218,0,0,0,4,17,207,0,0,3,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2001,04,008,6,5,140,1,0,0,3,0,193,0,0,0,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2001,04,009,25,40,1466,1,16,5,108,66,2149,0,0,4,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2001,04,010,11,24,221,1,1,2,32,0,427,0,0,0,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2001,04,011,9,36,435,0,1,2,11,11,830,2,0,0,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2001,05,001,1,0,108,0,0,10,1,0,153,0,0,0,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2001,05,002,0,212,13990,0,75,264,0,91,6809,0,0,23,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2001,05,003,0,27,3376,0,35,669,1,19,2474,0,0,2,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2001,05,004,0,1,886,0,45,139,3,20,1524,0,0,1,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2001,05,005,0,0,208,0,0,133,0,0,254,0,0,0,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2001,05,006,2,13,1745,0,60,213,7,30,1681,0,0,6,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2001,05,007,0,4,766,0,9,108,0,8,1192,0,0,0,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2001,05,008,0,0,127,0,1,27,1,0,295,0,0,0,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2001,05,009,0,6,3103,0,7,451,2,60,2674,0,0,11,Cifras Definitivas.
