PROD_EST,COBERTURA,ANIO,ID_ENTIDAD,ID_MUNICIPIO,AUTO_OFICIAL,AUTO_PUBLICO,AUTO_PARTICULAR,CAM_PAS_OFICIAL,CAM_PAS_PUBLICO,CAM_PAS_PARTICULAR,CYC_CARGA_OFICIAL,CYC_CARGA_PUBLICO,CYC_CARGA_PARTICULAR,MOTO_OFICIAL,MOTO_DE_ALQUILER,MOTO_PARTICULAR,ESTATUS
Vehículos de motor registrados en circulación. Anual,Municipal,1988,01,001,1141,1107,38258,36,634,101,1002,704,23914,30,0,2519,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,1988,01,002,2,28,148,1,2,2,2,10,433,0,0,53,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,1988,01,003,4,52,485,0,2,1,12,15,1254,0,0,51,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,1988,01,004,1,12,111,0,0,0,4,8,173,0,0,16,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,1988,01,005,4,16,311,0,38,1,3,9,630,0,0,87,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,1988,01,006,14,49,529,0,5,1,23,16,514,0,0,33,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,1988,01,007,3,30,393,0,2,2,7,9,647,0,0,43,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,1988,01,008,2,28,85,0,0,0,3,6,105,0,0,13,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,1988,01,009,0,37,68,0,2,1,7,10,235,0,0,16,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,1988,02,001,54,207,64464,0,149,0,36,372,21485,7,0,190,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,1988,02,002,741,796,130200,39,438,0,84,873,54838,20,0,1892,Cifras Definitivas.
