PROD_EST,COBERTURA,ANIO,ID_ENTIDAD,ID_MUNICIPIO,AUTO_OFICIAL,AUTO_PUBLICO,AUTO_PARTICULAR,CAM_PAS_OFICIAL,CAM_PAS_PUBLICO,CAM_PAS_PARTICULAR,CYC_CARGA_OFICIAL,CYC_CARGA_PUBLICO,CYC_CARGA_PARTICULAR,MOTO_OFICIAL,MOTO_DE_ALQUILER,MOTO_PARTICULAR,ESTATUS
Vehículos de motor registrados en circulación. Anual,Municipal,2014,01,001,1030,6027,248289,12,1436,397,862,1089,91013,69,3,29486,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2014,01,002,5,30,2968,0,4,14,17,1,3947,4,0,827,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2014,01,003,2,181,7858,0,0,8,30,2,10849,8,0,477,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2014,01,004,1,14,1268,0,0,4,8,0,1498,0,0,360,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2014,01,005,40,121,16173,0,48,66,49,11,9946,14,0,2253,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2014,01,006,10,93,6561,0,5,24,18,6,4333,3,0,856,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2014,01,007,10,74,6378,0,2,35,19,5,6086,1,0,2382,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2014,01,008,3,44,864,0,0,1,2,0,1476,1,0,142,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2014,01,009,2,34,1639,0,0,5,10,1,2546,0,0,361,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2014,01,010,9,29,1742,0,0,3,11,0,2512,0,0,350,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2014,01,011,22,30,5922,0,0,17,39,5,4233,2,0,707,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2014,02,001,0,420,93008,0,652,666,0,234,35567,0,0,768,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2014,02,002,0,733,275092,0,774,419,0,462,73033,0,0,3843,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2014,02,003,0,97,29401,0,138,163,0,64,12084,0,0,424,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2014,02,004,0,2332,405080,0,1720,504,0,1421,116891,0,0,7408,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2014,02,005,0,510,25982,0,70,42,0,50,10443,0,0,345,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2014,03,001,3,988,40672,0,151,157,41,1549,32578,6,0,62,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2014,03,002,81,154,17464,49,3,101,0,143,13559,4,0,86,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2014,03,003,0,1825,149883,0,541,1069,0,1283,51968,0,0,3749,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2014,03,008,277,4343,63514,18,223,2367,495,1178,26934,25,54,2824,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2014,03,009,6,243,5867,0,15,15,0,187,3950,0,0,54,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2014,04,001,0,72,4256,0,3,10,13,7,1687,4,10,4545,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2014,04,002,302,885,55089,15,214,339,727,305,19227,172,13,30154,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2014,04,003,8,1425,53224,0,161,72,17,376,16668,2,143,15840,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2014,04,004,15,169,6464,1,15,32,97,38,5976,6,95,7677,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2014,04,005,3,46,2030,1,0,1,22,1,1090,3,0,1151,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2014,04,006,13,21,2040,1,0,7,32,0,2462,1,0,1284,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2014,04,007,2,22,685,0,0,4,10,10,431,0,0,476,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2014,04,008,1,9,627,1,0,1,15,1,557,0,0,445,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2014,04,009,8,155,4780,1,18,14,34,55,5115,1,6,4924,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2014,04,010,10,99,988,0,0,1,36,3,806,1,1,795,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2014,04,011,5,114,2490,0,3,18,11,18,3352,4,0,2219,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2014,05,001,1,0,148,0,0,3,1,0,179,0,0,0,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2014,05,002,0,411,14713,0,464,1310,16,408,6218,0,0,62,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2014,05,003,0,31,2897,0,4,388,0,19,2385,0,0,0,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2014,05,004,0,46,1725,0,56,414,10,8,3215,0,0,3,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2014,05,005,1,0,44,0,3,0,0,0,222,0,0,0,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2014,05,006,0,32,2806,0,96,151,3,7,2628,0,0,18,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2014,05,007,0,8,1071,0,17,147,0,2,1521,0,0,6,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2014,05,008,0,0,134,0,1,15,1,1,289,0,0,0,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2014,05,009,0,44,4191,0,8,1494,5,14,3549,2,0,9,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2014,05,010,2,126,11703,0,239,626,21,66,5450,0,0,8,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2014,05,011,0,1,310,0,0,103,0,0,1002,0,0,0,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2014,05,012,0,0,156,0,0,20,0,0,163,0,0,0,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2014,05,013,0,0,13,0,0,0,0,0,67,0,0,0,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2014,05,014,0,3,412,0,3,37,0,1,907,0,0,0,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2014,05,015,0,0,100,0,0,3,0,0,262,0,0,0,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2014,05,016,0,0,221,1,0,21,0,0,164,0,0,0,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2014,05,017,1,49,10419,0,38,350,12,39,7371,4,0,8,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2014,05,018,25,607,45088,0,862,1732,95,35,21584,0,0,197,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2014,05,019,0,2,813,1,1,264,0,1,1010,0,0,1,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2014,05,020,2,101,8730,0,64,342,11,144,6774,0,0,24,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2014,05,021,0,3,982,0,14,43,0,0,599,0,0,0,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2014,05,022,1,30,3339,0,5,734,0,4,2283,0,0,4,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2014,05,023,0,0,146,0,0,116,0,0,556,0,0,0,Cifras Definitivas.
