PROD_EST,COBERTURA,ANIO,ID_ENTIDAD,ID_MUNICIPIO,AUTO_OFICIAL,AUTO_PUBLICO,AUTO_PARTICULAR,CAM_PAS_OFICIAL,CAM_PAS_PUBLICO,CAM_PAS_PARTICULAR,CYC_CARGA_OFICIAL,CYC_CARGA_PUBLICO,CYC_CARGA_PARTICULAR,MOTO_OFICIAL,MOTO_DE_ALQUILER,MOTO_PARTICULAR,ESTATUS
Vehículos de motor registrados en circulación. Anual,Municipal,2005,01,001,1277,3819,162642,7,1402,400,1103,1110,71587,232,1,8765,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2005,01,002,6,18,1232,0,1,8,20,15,2928,10,0,34,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2005,01,003,3,115,3772,0,0,3,29,3,9545,2,0,127,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2005,01,004,7,10,610,0,0,4,14,0,1210,0,0,17,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2005,01,005,17,50,7321,0,48,63,40,10,7362,15,0,329,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2005,01,006,9,65,3533,0,4,15,27,21,3248,6,0,108,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2005,01,007,13,56,3419,0,3,28,22,11,4772,3,0,112,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2005,01,008,8,15,401,0,0,2,10,3,1107,0,0,7,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2005,01,009,4,34,809,0,0,1,19,0,2053,0,0,30,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2005,01,010,10,11,824,0,0,0,17,0,2169,0,0,14,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2005,01,011,10,20,2914,0,0,14,30,5,3090,4,0,106,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2005,02,001,0,647,108132,0,1079,1506,0,0,44313,0,0,496,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2005,02,002,0,1932,318937,0,504,1678,0,944,97048,0,0,1314,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2005,02,003,0,143,30475,0,62,266,0,0,14251,0,0,261,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2005,02,004,0,8284,383113,0,2304,2499,0,197,127513,0,0,3181,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2005,02,005,0,1085,23719,0,63,88,0,0,11238,0,0,179,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2005,03,001,0,0,25314,0,135,141,0,1252,21767,0,0,29,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2005,03,002,28,157,8567,1,0,10,41,25,5820,0,0,0,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2005,03,003,0,2211,115453,0,427,1625,0,1187,37577,0,0,1896,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2005,03,008,219,2176,53882,159,355,71,106,612,35084,5,680,833,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2005,03,009,14,64,1887,0,0,18,9,34,1250,0,0,1,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2005,04,001,4,44,1654,0,3,2,10,7,782,0,1,710,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2005,04,002,293,606,24037,20,309,140,648,250,9353,47,4,6310,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2005,04,003,4,696,20977,0,160,51,19,198,7351,0,1,3391,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2005,04,004,13,113,2224,2,35,20,68,35,2898,0,0,1044,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2005,04,005,3,32,713,1,0,2,5,3,448,0,0,198,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2005,04,006,3,17,676,0,0,7,22,0,1041,1,0,129,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2005,04,007,0,20,380,0,0,0,4,27,258,0,0,23,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2005,04,008,2,6,199,0,0,2,6,2,235,0,0,9,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2005,04,009,5,94,1709,1,13,10,15,70,2901,0,0,490,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2005,04,010,6,45,388,0,1,2,15,18,410,0,0,34,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2005,04,011,3,67,930,0,6,14,2,4,1569,0,0,98,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2005,05,001,1,0,119,0,0,8,1,0,175,0,0,0,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2005,05,002,0,382,19209,0,545,1102,0,447,9877,0,0,82,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2005,05,003,0,48,3153,0,4,501,1,22,2921,0,0,11,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2005,05,004,0,31,1325,0,65,181,7,27,2459,0,0,10,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2005,05,005,0,0,245,0,0,82,0,0,387,0,0,0,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2005,05,006,5,25,2020,0,77,173,9,21,2433,0,0,21,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2005,05,007,0,10,978,0,14,161,0,9,1650,0,0,9,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2005,05,008,0,0,148,0,1,18,1,1,360,0,0,0,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2005,05,009,0,114,3665,0,21,445,2,59,3418,0,0,15,Cifras Definitivas.
