PROD_EST,COBERTURA,ANIO,ID_ENTIDAD,ID_MUNICIPIO,AUTO_OFICIAL,AUTO_PUBLICO,AUTO_PARTICULAR,CAM_PAS_OFICIAL,CAM_PAS_PUBLICO,CAM_PAS_PARTICULAR,CYC_CARGA_OFICIAL,CYC_CARGA_PUBLICO,CYC_CARGA_PARTICULAR,MOTO_OFICIAL,MOTO_DE_ALQUILER,MOTO_PARTICULAR,ESTATUS
Vehículos de motor registrados en circulación. Anual,Municipal,2006,01,001,1294,4082,180550,7,1402,394,1073,1113,75530,210,1,9583,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2006,01,002,6,20,1629,0,1,8,24,15,3112,6,0,37,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2006,01,003,9,123,4714,0,0,3,29,3,9913,2,0,127,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2006,01,004,7,12,712,0,0,4,18,0,1242,0,0,19,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2006,01,005,16,55,8745,0,48,63,39,11,7819,15,0,371,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2006,01,006,9,73,4290,0,4,14,30,20,3446,6,0,121,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2006,01,007,13,65,4119,0,3,32,23,12,5059,9,0,140,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2006,01,008,7,17,507,0,0,2,10,3,1171,0,0,9,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2006,01,009,4,32,1043,0,0,1,19,0,2141,0,0,31,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2006,01,010,10,11,1132,0,0,0,17,0,2275,0,0,15,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2006,01,011,10,21,3481,0,0,15,35,6,3285,4,0,115,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2006,02,001,0,649,115798,0,1075,1527,0,0,46856,0,0,615,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2006,02,002,0,1930,339473,0,510,1706,0,933,101747,0,0,1799,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2006,02,003,0,140,32348,0,65,268,0,0,14843,0,0,310,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2006,02,004,0,8324,424768,0,2345,2514,0,182,137254,0,0,4066,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2006,02,005,0,1214,26108,0,108,90,0,0,12143,0,0,215,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2006,03,001,0,84,30514,0,138,89,40,1252,25337,5,0,30,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2006,03,002,45,132,5502,7,0,6,37,61,3501,0,0,19,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2006,03,003,0,1266,120458,0,433,1291,0,1024,39473,0,0,2171,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2006,03,008,219,2243,80298,159,355,79,106,618,49396,5,680,1342,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2006,03,009,14,94,2728,0,0,37,9,67,2566,6,6,13,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2006,04,001,1,59,2778,0,5,7,13,13,1251,4,975,595,Cifras Definitivas.
