PROD_EST,COBERTURA,ANIO,ID_ENTIDAD,ID_MUNICIPIO,AUTO_OFICIAL,AUTO_PUBLICO,AUTO_PARTICULAR,CAM_PAS_OFICIAL,CAM_PAS_PUBLICO,CAM_PAS_PARTICULAR,CYC_CARGA_OFICIAL,CYC_CARGA_PUBLICO,CYC_CARGA_PARTICULAR,MOTO_OFICIAL,MOTO_DE_ALQUILER,MOTO_PARTICULAR,ESTATUS
Vehículos de motor registrados en circulación. Anual,Municipal,2004,01,001,1259,3480,151038,19,822,408,1101,327,67097,228,1,9133,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2004,01,002,3,16,1141,0,1,8,14,15,2754,6,0,33,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2004,01,003,3,85,3559,0,0,3,29,3,9135,2,0,112,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2004,01,004,7,9,573,0,0,4,12,0,1150,0,0,18,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2004,01,005,12,40,6705,0,48,66,34,10,6822,12,0,287,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2004,01,006,9,48,3227,0,4,17,21,21,3357,0,0,104,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2004,01,007,12,51,3142,0,3,20,22,10,4522,3,0,97,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2004,01,008,6,13,395,0,0,2,6,3,1033,0,0,6,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2004,01,009,4,28,755,0,0,1,19,0,1925,0,0,27,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2004,01,010,11,9,787,0,0,1,11,0,2074,0,0,15,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2004,01,011,10,14,2652,0,0,15,30,5,2878,0,0,91,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2004,02,001,0,0,99655,0,0,1465,0,0,41590,0,0,466,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2004,02,002,0,411,296035,0,904,1650,0,417,93432,0,0,1075,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2004,02,003,0,75,28135,0,45,364,0,96,13464,0,0,201,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2004,02,004,0,6976,314806,0,2644,2470,0,972,118523,0,0,2790,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2004,02,005,0,787,21198,0,45,88,0,126,10304,0,0,160,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2004,03,001,0,0,24836,0,135,141,0,1252,21547,0,0,29,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2004,03,002,24,132,7840,3,0,7,37,25,5106,0,0,1,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2004,03,003,0,1967,100968,0,300,1769,0,1008,37406,0,0,1695,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2004,03,008,219,2167,48507,159,332,71,106,534,30340,5,680,570,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2004,03,009,14,64,1617,0,0,8,9,23,1236,0,0,1,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2004,04,001,7,53,2329,1,3,6,23,18,1082,0,0,867,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2004,04,002,866,658,33108,80,439,179,1935,345,12021,136,5,6624,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2004,04,003,178,801,29226,17,132,85,514,247,10196,28,3,4005,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2004,04,004,29,119,3068,11,35,15,88,46,3452,0,0,1217,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2004,04,005,16,39,929,2,3,3,30,2,558,4,0,239,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2004,04,006,15,16,946,0,1,6,53,1,1269,0,1,160,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2004,04,007,2,20,461,1,0,2,3,23,352,0,0,36,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2004,04,008,2,7,197,0,0,1,8,0,232,0,0,12,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2004,04,009,29,103,2358,2,15,12,104,95,3699,0,0,611,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2004,04,010,10,51,469,0,2,4,37,16,592,0,0,45,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2004,04,011,10,64,1073,3,9,4,16,17,1807,3,0,130,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2004,05,001,2,0,104,0,0,15,1,0,179,0,0,0,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2004,05,002,0,366,20315,0,130,695,0,175,9778,0,0,81,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2004,05,003,0,32,2921,0,4,591,1,18,3082,0,0,23,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2004,05,004,0,3,1323,0,54,206,7,1,2454,0,0,13,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2004,05,005,0,0,244,0,0,101,0,0,368,0,0,0,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2004,05,006,2,17,2026,0,63,209,9,18,2402,0,0,27,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2004,05,007,0,7,893,0,15,123,0,9,1732,0,0,8,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2004,05,008,0,0,142,0,1,26,1,1,353,0,0,0,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2004,05,009,0,18,3812,0,9,428,2,66,3345,0,0,22,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2004,05,010,5,71,7635,0,230,672,10,148,3788,0,0,53,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2004,05,011,0,4,247,0,0,98,7,0,887,0,0,0,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2004,05,012,0,0,303,0,0,48,0,0,300,0,0,0,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2004,05,013,0,0,120,0,0,9,0,0,262,0,0,0,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2004,05,014,0,0,694,0,2,34,0,1,1266,0,0,0,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2004,05,015,0,0,83,0,0,26,0,0,324,0,0,0,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2004,05,016,0,0,139,0,0,33,0,0,172,0,0,3,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2004,05,017,12,49,6121,0,175,618,13,139,6702,0,0,96,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2004,05,018,51,402,33580,0,576,2460,46,136,17203,0,0,388,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2004,05,019,3,16,997,0,6,139,0,9,1280,0,0,1,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2004,05,020,1,178,6933,0,39,566,14,287,6621,0,0,17,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2004,05,021,0,0,592,0,15,42,0,0,404,0,0,0,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2004,05,022,0,31,3104,0,11,517,1,16,2159,0,0,3,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2004,05,023,0,0,155,0,0,77,0,2,712,0,0,0,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2004,05,024,2,19,3840,0,17,526,7,12,2869,0,0,120,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2004,05,025,0,368,41856,0,160,239,0,141,13551,1,0,298,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2004,05,026,0,0,183,0,0,28,0,4,481,0,0,0,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2004,05,027,5,211,7289,0,103,1286,15,24,5284,0,0,68,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2004,05,028,2,77,8495,0,32,425,4,190,5912,1,0,32,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2004,05,029,0,0,120,0,0,6,0,0,201,0,0,0,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2004,05,030,95,2245,106251,4,1525,13660,307,585,51845,86,0,1461,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2004,05,031,8,6,2465,0,28,204,7,7,1790,0,0,6,Cifras Definitivas.
Vehículos de motor registrados en circulación. Anual,Municipal,2004,05,032,0,66,7221,0,17,492,0,126,4680,0,0,95,Cifras Definitivas.
