Entidad federativa,2000  a,2005  b,2010  c
Total,Hombres,Mujeres,Total,Hombres,Mujeres,Total,Hombres,Mujeres
Estados Unidos Mexicanos
Aguascalientes,944285.000000000000,456533.000000000000,487752.000000000000,1065416.000000000000,515364.000000000000,550052.000000000000,1184996.000000000000,576638.000000000000,608358.000000000000
Baja California,2487367.000000000000,1252581.000000000000,1234786.000000000000,2844469.000000000000,1431789.000000000000,1412680.000000000000,3155070.000000000000,1591610.000000000000,1563460.000000000000
Baja California Sur,424041.000000000000,216250.000000000000,207791.000000000000,512170.000000000000,261288.000000000000,250882.000000000000,637026.000000000000,325433.000000000000,311593.000000000000
Campeche,690689.000000000000,344334.000000000000,346355.000000000000,754730.000000000000,373457.000000000000,381273.000000000000,822441.000000000000,407721.000000000000,414720.000000000000
Coahuila de Zaragoza,2298070.000000000000,1140195.000000000000,1157875.000000000000,2495200.000000000000,1236880.000000000000,1258320.000000000000,2748391.000000000000,1364197.000000000000,1384194.000000000000
Colima,542627.000000000000,268192.000000000000,274435.000000000000,567996.000000000000,280005.000000000000,287991.000000000000,650555.000000000000,322790.000000000000,327765.000000000000
Chiapas,3920892.000000000000,1941880.000000000000,1979012.000000000000,4293459.000000000000,2108830.000000000000,2184629.000000000000,4796580.000000000000,2352807.000000000000,2443773.000000000000
Chihuahua,3052907.000000000000,1519972.000000000000,1532935.000000000000,3241444.000000000000,1610275.000000000000,1631169.000000000000,3406465.000000000000,1692545.000000000000,1713920.000000000000
Ciudad de México,8605239.000000000000,4110485.000000000000,4494754.000000000000,8720916.000000000000,4171683.000000000000,4549233.000000000000,8851080.000000000000,4233783.000000000000,4617297.000000000000
Durango,1448661.000000000000,709521.000000000000,739140.000000000000,1509117.000000000000,738095.000000000000,771022.000000000000,1632934.000000000000,803890.000000000000,829044.000000000000
Guanajuato,4663032.000000000000,2233315.000000000000,2429717.000000000000,4893812.000000000000,2329136.000000000000,2564676.000000000000,5486372.000000000000,2639425.000000000000,2846947.000000000000
Guerrero,3079649.000000000000,1491287.000000000000,1588362.000000000000,3115202.000000000000,1499453.000000000000,1615749.000000000000,3388768.000000000000,1645561.000000000000,1743207.000000000000
