Concepto,undefined 2003,undefined 2004,undefined 2005,undefined 2006,undefined 2007,undefined 2008,undefined 2009,undefined 2010,undefined 2011,undefined 2012,undefined 2013,undefined 2014,undefined 2015,undefined 2016,undefined 2017,undefined 2018 R,undefined 2019 R
Colima,0.539313344053,0.519467289168,0.511384426828,0.52065025501,0.543874317953,0.548184761428,0.560110172296,0.571278491489,0.591195022001,0.58674313319,0.58444459383,0.583197471921,0.578295883647,0.580455874902,0.588808722034,0.593353256572,0.620062564149
Chiapas,1.975644155519,1.82653898911,1.800154073243,1.783127265239,1.77162957709,1.793336490149,1.880774286046,1.888111524775,1.878531896192,1.845206162938,1.795896568717,1.830001105181,1.735959057959,1.690171756949,1.601753540952,1.51211867594,1.474899539991
Chihuahua,2.869843500178,2.886151750588,2.915934252107,3.012131075066,3.049219624089,3.060475843074,2.938621815327,2.910986320756,2.873325297509,2.975610411159,3.044823704794,3.022896292921,3.079981767466,3.14561438744,3.18236220417,3.186651810046,3.241608851311
Ciudad de México,16.983131724007,17.063850373426,16.917430587152,17.045850787664,16.896923163975,17.013348674571,17.309655325472,17.048788536876,17.033083744161,17.069120073874,17.0883544956,17.106647143953,17.309375281067,17.413365716551,17.573995168883,17.662351450097,17.734221770846
Durango,1.217624385659,1.208076468466,1.161260981186,1.151271718045,1.141465575997,1.150633822448,1.194879185681,1.179371228371,1.185245521335,1.185555989033,1.208575123026,1.201012846243,1.163419324842,1.181571426562,1.151537826531,1.142698182818,1.154928840723
Guanajuato,3.490331369593,3.45539777479,3.406016122388,3.42856774107,3.428607324694,3.492556573554,3.529129560393,3.603360114752,3.684933214867,3.699839697434,3.800997134787,3.859331017811,3.943745806564,3.964824373195,4.063399882447,4.028469681867,3.976451722212
Guerrero,1.45483279844,1.475461284861,1.462570847991,1.432310340725,1.43730291775,1.446145529906,1.474437654863,1.476342111506,1.441792864772,1.413509083769,1.398815417175,1.416921449797,1.384732732127,1.378974451327,1.350817987614,1.359710661038,1.361718041933
Hidalgo,1.429666968862,1.467735576744,1.424016628412,1.402621150653,1.414682551579,1.449724803053,1.432981300507,1.437415167289,1.44240469083,1.443828092696,1.476624563744,1.512805110168,1.560338979841,1.582999119951,1.558690389785,1.564838440359,1.545881972491
Jalisco,6.329729006371,6.277357641277,6.309157629665,6.359811359402,6.405991979407,6.377761427391,6.376642886156,6.447505603614,6.407374888467,6.449915633395,6.511560194445,6.642473898708,6.66419754676,6.766531097042,6.789549785743,6.824800650244,6.89055239396
México,8.347757081237,8.228231922123,8.236437681111,8.259782165073,8.310788890746,8.318854382263,8.343217191926,8.547794308465,8.627761129385,8.683787573459,8.727145726156,8.727691381009,8.716734774944,8.74702218231,8.984091740519,9.084872023008,8.928412391977
Michoacán de Ocampo,2.344659928732,2.306557788537,2.292723791287,2.300212468787,2.302943030084,2.323568486917,2.322613846644,2.297645305082,2.307611976429,2.281320443393,2.297990941612,2.362928447754,2.328419887762,2.367795022472,2.393890073905,2.397342689472,2.405082518298
Morelos,1.258495983884,1.223957578546,1.283211267187,1.207186687742,1.187876019088,1.178055781348,1.233452529848,1.219199986878,1.174243589515,1.13873321344,1.164294375492,1.155540080626,1.130754092209,1.144775516144,1.172768262045,1.137299839698,1.138003829832
Nayarit,0.605976262279,0.66570764197,0.676294036182,0.661568862651,0.643133790575,0.682458869603,0.681673273669,0.681322492983,0.676966502619,0.653232239357,0.662468691605,0.678319921121,0.687979697027,0.703505897513,0.698219533258,0.681533182394,0.68447464997
Nuevo León,6.400842400909,6.511852909902,6.633632280912,6.796438410304,7.047872906336,7.084524130579,6.980419083921,7.142946201627,7.191630112664,7.218056547459,7.191889238268,7.226969976162,7.407273547291,7.405533314023,7.53931604301,7.644482024549,7.773655873094
Oaxaca,1.616070042244,1.614912600529,1.600851583642,1.564981476177,1.542080851035,1.573544516697,1.6449421711,1.589205522864,1.579450460842,1.553238851447,1.569532332051,1.557457201701,1.571906668867,1.510846923878,1.445593629184,1.473004459223,1.429676299438
Puebla,3.152352441375,3.110241911961,3.207882948431,3.210028602711,3.267879557853,3.256109114879,3.169411928358,3.274489411458,3.316482721339,3.397228384931,3.31949852547,3.275007789845,3.260695119833,3.269880422936,3.399231121928,3.411302533499,3.374780293963
Querétaro,1.688868039286,1.746400565423,1.822866795524,1.855151474628,1.905522698001,1.932605072778,1.980514104658,2.002474538917,2.076293702064,2.062695394135,2.045627466704,2.132713567813,2.185957363671,2.225507106024,2.279943188545,2.297828652531,2.281635847479
Quintana Roo,1.148433890858,1.202554291824,1.226289141661,1.25159514072,1.353292408316,1.409581418326,1.360377381458,1.359694678139,1.385161779897,1.397900172049,1.440121087614,1.451733854551,1.47219619982,1.53980169751,1.570771613282,1.618717404443,1.642752109675
San Luis Potosí,1.785798145761,1.819555257248,1.852304013628,1.856595516395,1.8542656329,1.874807803676,1.874528925267,1.877018530388,1.908346514652,1.9266029816,1.968317795292,1.971203291071,1.986556142801,2.014214806937,2.046634770839,2.089347559122,2.086610417443
Sinaloa,2.1358772195,2.181177318122,2.140503710648,2.117174434196,2.14404787509,2.196668362962,2.22050138719,2.17841684009,2.142827349063,2.139793578091,2.13581427136,2.116602460703,2.164421034943,2.216618770809,2.198452661385,2.208288383223,2.258114983176
Sonora,2.910507734903,2.946084901095,3.033336009111,3.083865873147,3.054463055122,3.032177801884,3.006724976889,3.006479049267,3.169646531097,3.2138310632,3.262341469361,3.254445845757,3.314995562858,3.409060290296,3.323674549256,3.284589078286,3.285148336183
Tabasco,2.985016841115,2.997873009246,3.154693632179,3.196449283998,3.185522137559,3.299388024367,3.633677341354,3.658007669431,3.695608011265,3.655006703117,3.539229429546,3.51520938319,3.391026491058,3.14844051774,2.939376599799,2.63950885077,2.535906503875
Tamaulipas,3.117853016884,3.142460927991,3.270153402359,3.227312147863,3.255175397434,3.355959382314,3.221876465507,3.122927839908,3.070548402819,3.022302819247,3.025333389036,2.974336316692,2.971075852531,2.946895718112,2.875792893979,2.872630511376,2.930247492402
Tlaxcala,0.662899027963,0.688007678405,0.59395363305,0.559096895327,0.554349653806,0.577992062309,0.598888146304,0.618780704952,0.578333660348,0.582714306145,0.56037700133,0.562405119937,0.581797539474,0.570348182192,0.551565369453,0.558613190613,0.587571750754
Veracruz de Ignacio de la Llave,4.885620379624,4.933529409455,4.861551687438,4.913778706272,4.95008839059,4.890133526027,5.048020101041,5.003682428204,5.020354545916,5.053015435908,4.995053794647,4.859511349457,4.739286642369,4.621980171018,4.478253857601,4.485660570748,4.536008963977
Yucatán,1.287006478505,1.295056302007,1.325377339069,1.331257579156,1.341453962653,1.341122592963,1.387440423448,1.366670187139,1.363919226746,1.391359620632,1.379489108472,1.393269245397,1.389521562554,1.42796754039,1.456398733623,1.476074251196,1.496564836116
Zacatecas,0.807432605591,0.809648437703,0.791606552769,0.80471811016,0.813325126024,0.877495748632,0.956233657699,1.008406631046,0.973910102877,0.963830679054,0.938837544371,0.975956414431,0.964481395389,0.930355294629,0.909537593646,0.890508347848,0.858817480736
Índice de volumen físico base 2013=100,,,,,,,,,,,,,,,,,
a  B.1bP - Producto interno bruto,80.245551386787,83.391651100123,85.316169516596,89.151197792727,91.194049093794,92.236930183669,87.361522054505,91.832787964962,95.196630270001,98.663998724362,100.,102.849773254907,106.236772134739,109.031364872539,111.335338410491,113.779143215915,113.578209867645
"D.21-D.31 - Impuestos sobre los productos, netos",79.205689304793,82.438524366732,84.995035979111,91.388818842463,92.87616904102,96.257894078814,90.053720280889,93.826784623782,97.631421350116,99.080304702717,100.,106.197134354714,112.351314395712,120.505583842524,124.880693611232,129.029574554159,128.826984831094
a  B.1bV - Valor agregado bruto,,,,,,,,,,,,,,,,,
Estados Unidos Mexicanos,80.287734937335,83.430316205469,85.32919682777,89.060425214673,91.125811110791,92.073813481863,87.252308864235,91.751898390219,95.097859266891,98.64711075806,100.,102.713982346232,105.988726322459,108.565895511967,110.785850011326,113.160485812438,112.959619625588
Aguascalientes,70.129203602367,73.228669972937,75.007325375554,79.91634684107,86.971814586501,87.344956681092,82.891760213782,88.071276223836,91.965074905383,97.040556955714,100.,110.220067596035,114.697418027819,122.48111770496,125.393440758133,130.130166103972,128.834012513018
Baja California,85.820285860453,90.866393027764,93.015079683367,97.958132167403,99.152908311341,98.288355035601,87.58846788998,91.974185386664,94.667515329128,97.959244031082,100.,102.706031309467,109.867324653958,115.042801542462,118.860979652218,121.593101092091,123.684955746547
Baja California Sur,66.112449456063,70.892531711768,75.979709712215,81.420099328471,92.325133600059,94.738405665337,94.185021298011,96.199831755226,99.72190858747,102.015332070959,100.,100.868812022265,113.468934476307,116.449116353283,128.992149052449,150.573017039278,138.236151302899
Campeche,145.268758950842,146.939810483912,144.02375368577,140.660291281058,131.409668792432,120.267509132969,108.275357383183,104.560284172743,100.751477638083,99.126594305837,100.,95.131809712719,88.422944215113,83.292846131248,74.593498686853,73.426246384471,71.7575744597
Coahuila de Zaragoza,81.116285842644,83.451886142088,85.258630616774,89.275725809186,92.989996244698,92.590172003843,78.28354130973,91.034079421938,97.212991402507,102.107890695221,100.,103.903733416229,104.779100535906,106.324077691693,111.801233825305,112.993479588551,112.260222849913
Colima,74.087855842317,74.154711415181,74.662376677168,79.339142818384,84.800148532451,86.361413913603,83.61939911343,89.684953299106,96.196254692201,99.035076134366,100.,102.494805269157,104.87366089505,107.824954716263,111.613103197873,114.885386024347,119.843749312942
Chiapas,88.323568880184,84.853842964851,85.531485449513,88.427181843479,89.894476671026,91.942560824707,91.376030094665,96.463137013664,99.473636179398,101.355645919404,100.,104.664547215729,102.45138428681,102.174598224917,98.80949194628,95.279475976517,92.769313069245
Chihuahua,75.673752109578,79.082592791638,81.717154048417,88.104172969153,91.25737265594,92.547125633997,84.208993073187,87.718878665059,89.74151256781,96.404717731362,100.,101.974283757933,107.21256016109,112.159676887072,115.790185578814,118.431509309439,120.260132710647
Ciudad de México,79.793357436142,83.31067995484,84.47570330794,88.838906033118,90.104979329075,91.669674395371,88.382260163225,91.539458285145,94.790273762196,98.536074898472,100.,102.823935048846,107.359584560941,110.630759876942,113.934316693917,116.961540749735,117.229013835497
Durango,80.888893099353,83.395893101024,81.988669917272,84.837712437729,86.065793086431,87.6596265598,86.263539417758,89.534814219003,93.262147827772,96.768227917181,100.,102.071282071171,102.028686566164,106.140162570023,105.557440743066,106.99234084918,107.945563380459
Guanajuato,73.725601443014,75.844553085309,76.462204468919,80.334104464965,82.198068655136,84.602274383535,81.011558679478,86.981157677373,92.194034314887,96.021776254325,100.,104.29033329276,109.969194965123,113.245207338939,118.43397770361,119.932630863794,118.1738523004
Guerrero,83.50296162387,88.001747788454,89.218344486638,91.192995457485,93.63307880635,95.189209493484,91.969310663543,96.837073527319,98.019662396167,99.683335936946,100.,104.043494941109,104.921676422147,107.025983813328,106.984464948619,109.997013957839,109.963866687042
Hidalgo,77.734534195791,82.92808224953,82.289160125959,84.597018876304,87.303230721104,90.396499146623,84.673470900104,89.315573918984,92.894024427372,96.456115706675,100.,105.230700608933,111.997555211554,116.386874004328,116.942954882864,119.920718154701,118.257710108737
Jalisco,78.045750866629,80.429561780498,82.676860402587,86.984914066627,89.648440260242,90.181891676034,85.444470757474,90.849329707157,93.576288511231,97.713224306899,100.,104.779027820285,108.473205936869,112.816972603078,115.515486572555,118.60410317846,119.534205964332
México,76.797446598248,78.660768665428,80.531325373054,84.290985264201,86.778358286139,87.766226302332,83.413865906868,89.866306746796,94.014886357577,98.157012778078,100.,102.72040442106,105.862288252854,108.813159088122,114.047624651207,117.798941821979,115.564710307908
Michoacán de Ocampo,81.918266720462,83.741342125924,85.13361654993,89.14652222715,91.322183981763,93.098631331704,88.187214775344,91.738098158366,95.496006969917,97.931487186853,100.,105.616513308671,107.392180612626,111.863707705953,115.409134939935,118.052886322177,118.223793451701
Morelos,86.783715614073,87.705626643617,94.044417884587,92.341388902086,92.971475270302,93.162082172904,92.435026200495,96.078720011108,95.910496495827,96.481391471624,100.,101.94167896039,102.935467644533,106.745838240257,111.592163899282,110.536823919892,110.408915868822
Nayarit,73.441148450818,83.838224770136,87.109968603978,88.939454744326,88.466200835823,94.852166547865,89.781702550479,94.363149442852,97.179030511594,97.271726020031,100.,105.171672693432,110.070245956721,115.291105420234,116.764528598545,116.417012598948,116.711924780477
Nuevo León,71.456764840777,75.541478651501,78.70567744134,84.163378315984,89.301032582409,90.699276893176,84.686743876873,91.127498267238,95.094432866759,99.006033061018,100.,103.215002616894,109.162900427049,111.79098138812,116.137708557098,120.281788417912,122.097154368352
Oaxaca,82.668321347854,85.842557145854,87.031899300924,88.802194688952,89.531999742453,92.30918113451,91.444438222627,92.901956001429,95.698798028524,97.62304470158,100.,101.923756684575,106.149062576685,104.506575572092,102.03760426572,106.200998097167,102.894147303881
Puebla,76.245021740555,78.170984020452,82.460068413005,86.123403916332,89.708783732496,90.315564540753,83.307314755317,90.507833473872,95.011461723828,100.957045827069,100.,101.33732240847,104.111184272337,106.943110114156,113.44686745252,116.290050735712,114.840809658756
Querétaro,66.285475576266,71.226434806057,76.037187668724,80.767677329942,84.884615733665,86.98666883457,84.475023523255,89.816373418087,96.523482153777,99.470184242914,100.,107.08670435821,113.259545318905,118.112498911215,123.475778572492,127.11180841405,125.99201059354
Quintana Roo,64.025974354004,69.667395112786,72.659353742192,77.401543792261,85.631596841707,90.121266687006,82.420893964912,86.627832217213,91.468641865904,95.755012746398,100.,103.542241544998,108.349361354167,116.080482147441,120.836553153606,127.194059898976,128.853507558465
San Luis Potosí,72.842753604808,77.124776714718,80.299844944634,84.00533010333,85.845619145942,87.69961052168,83.094801639006,87.496040471006,92.200389955754,96.556469777,100.,102.864558011984,106.970813273696,111.097422779806,115.193884489809,120.118603503314,119.748304681765
Sinaloa,80.290101230897,85.202311732492,85.5165474291,88.283170447704,91.477102807057,94.697200896624,90.711947881699,93.582051231559,95.410118944778,98.830903476872,100.,101.790062318581,107.408322809378,112.673281140814,114.034937432166,117.00033547412,119.427898291919
Sonora,71.628943734932,75.34244872126,79.339372593913,84.18812333011,85.319218119881,85.577851367348,80.415768495482,84.555881973557,92.395784613898,97.180246711372,100.,102.465390667189,107.699381187339,113.448480714312,112.868659997302,113.932186217741,113.749314703589
Tabasco,67.715372991158,70.668912000248,76.058215278248,80.43477770429,82.018782442632,85.834287832211,89.580724847644,94.831136177392,99.299697167705,101.874110803296,100.,102.016882972933,101.550517101996,96.578442025005,92.009105822201,84.393540968528,80.937119162851
Tamaulipas,82.743064781012,86.660369344989,92.234318484743,95.006320040879,98.048862804377,102.136174260882,92.920721236729,94.71172958513,96.519140978538,98.5482929039,100.,100.982565766684,104.08788220116,105.751112844838,105.309768956584,107.448741155257,109.409311168868
Tlaxcala,94.976527089868,102.432287593766,90.441945941417,88.856978633831,90.145672863396,94.968089719591,93.248604765148,101.31447977315,98.145164613368,102.579303865388,100.,103.085725187868,110.040169457441,110.497684605806,109.043801131593,112.804308315656,118.441480129217
Veracruz de Ignacio de la Llave,78.528762686021,82.402699863001,83.048615266238,87.61131290726,90.30549783989,90.139818445871,88.177510616795,91.91039388235,95.579545227144,99.791792813612,100.,99.926804290743,100.561670715152,100.45725970817,99.323687106742,101.620432981032,102.578644445873
Yucatán,74.905147401524,78.323892604026,81.982078105583,85.946576411392,88.613298694312,89.513045606837,87.755227362092,90.899292624556,94.024518120513,99.495969745561,100.,103.740023604716,106.759538519238,112.381151712176,116.962410698967,121.083434682308,122.546378651771
Zacatecas,69.050215775988,71.949854985866,71.947646061195,76.337527720847,78.943276448666,86.05789188455,88.869043369744,98.550833743773,98.650470954452,101.273231262129,100.,106.774990543978,108.883752329483,107.585019699332,107.328361582284,107.335244384558,103.331717540798
Variación porcentual anual,,,,,,,,,,,,,,,,,
a  B.1bP - Producto interno bruto,NA,3.920590810289,2.307807065916,4.495077894214,2.291445714298,1.143584587194,-5.285744136818,5.118118143211,3.663007929502,3.642322679413,1.354091961517,2.849773254907,3.293151528334,2.63053242455,2.113129135497,2.194994725227,-0.176599456272
"D.21-D.31 - Impuestos sobre los productos, netos",NA,4.081569253818,3.101112777087,7.522536804295,1.627496905416,3.641111678821,-6.445366229231,4.189792860444,4.054958018214,1.484033861809,0.928232205222,6.197134354714,5.795052831126,7.257831820367,3.630628249082,3.322275704076,-0.157010300751
a  B.1bV - Valor agregado bruto,,,,,,,,,,,,,,,,,
Estados Unidos Mexicanos,NA,3.914148618823,2.276007941315,4.372745233304,2.319083803092,1.040322560114,-5.236564485925,5.15698619848,3.646748389272,3.732209661217,1.371443351502,2.713982346232,3.188216347399,2.431550296837,2.044799141471,2.143446839889,-0.177505588994
Aguascalientes,NA,4.419651459532,2.428905786865,6.544722719997,8.828566400141,0.429037954842,-5.098401369147,6.248529403521,4.421190254642,5.518923412559,3.04969709277,10.220067596035,4.062191694705,6.786290233014,2.377773086778,3.777490526778,-0.996043907235
Baja California,NA,5.879853599551,2.36466594965,5.314248507729,1.219680405805,-0.871939401944,-10.886220592201,5.007185994157,2.928354223678,3.477147034555,2.083270434662,2.706031309467,6.972612273288,4.710660703539,3.318919618232,2.29858566526,1.720372813645
