"PROD_EST","COBERTURA","ANIO","ID_MES","MARCA","MODELO","TIPO","SEGMENTO","ID_PAIS_DESTINO","UNI_VEH"
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2017,"01","Audi","Q5","Camiones ligeros","SUV's",999,7379
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2017,"01","Chrysler","Journey","Camiones ligeros","SUV's",12,0
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2017,"01","Chrysler","Journey","Camiones ligeros","SUV's",23,0
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2017,"01","Chrysler","Journey","Camiones ligeros","SUV's",31,0
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2017,"01","Chrysler","Journey","Camiones ligeros","SUV's",40,1106
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2017,"01","Chrysler","Journey","Camiones ligeros","SUV's",42,8
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2017,"01","Chrysler","Journey","Camiones ligeros","SUV's",46,100
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2017,"01","Chrysler","Journey","Camiones ligeros","SUV's",57,6
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2017,"01","Chrysler","Journey","Camiones ligeros","SUV's",66,13173
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2017,"01","Chrysler","Journey","Camiones ligeros","SUV's",167,9
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2017,"01","Chrysler","Journey","Camiones ligeros","SUV's",174,4
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2017,"01","Chrysler","Journey","Camiones ligeros","SUV's",175,1
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2017,"01","Chrysler","Journey","Camiones ligeros","SUV's",231,5
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2017,"01","Chrysler","Promaster","Camiones ligeros","SUV's",31,0
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2017,"01","Chrysler","Promaster","Camiones ligeros","SUV's",40,392
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2017,"01","Chrysler","Promaster","Camiones ligeros","SUV's",66,2502
