"PROD_EST","COBERTURA","ANIO","ID_MES","MARCA","MODELO","TIPO","SEGMENTO","ID_PAIS_DESTINO","UNI_VEH"
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2019,"01","Audi","Q5","Camiones ligeros","SUV's",4,3460
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2019,"01","Audi","Q5","Camiones ligeros","SUV's",16,115
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2019,"01","Audi","Q5","Camiones ligeros","SUV's",31,30
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2019,"01","Audi","Q5","Camiones ligeros","SUV's",40,1043
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2019,"01","Audi","Q5","Camiones ligeros","SUV's",46,80
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2019,"01","Audi","Q5","Camiones ligeros","SUV's",50,4
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2019,"01","Audi","Q5","Camiones ligeros","SUV's",66,4842
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2019,"01","Audi","Q5","Camiones ligeros","SUV's",85,10
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2019,"01","Audi","Q5","Camiones ligeros","SUV's",93,3
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2019,"01","Audi","Q5","Camiones ligeros","SUV's",125,2
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2019,"01","Audi","Q5","Camiones ligeros","SUV's",126,259
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2019,"01","Audi","Q5","Camiones ligeros","SUV's",144,7
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2019,"01","Audi","Q5","Camiones ligeros","SUV's",150,5
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2019,"01","Audi","Q5","Camiones ligeros","SUV's",165,1
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2019,"01","Audi","Q5","Camiones ligeros","SUV's",167,8
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2019,"01","Audi","Q5","Camiones ligeros","SUV's",172,4
